Name,CriticRate,CriticNum,UserRate,UserNum,TN,Index,Year
Dustforce DX,79,35,7.7,106,45.6,78.53508772,2012
Dwarfs - F2P,0,3,7.5,40,7,75,2012
Dynamite Headdy,0,0,0,0,0,0,2012
Dynamite Jack,0,0,7.4,20,2,74,2012
East Tower - Akio,0,0,0,0,0,0,2012
East Tower - Takashi,0,0,0,0,0,0,2012
Edna & Harvey: Harvey's New Eyes,75,19,7.8,80,27,75.88888889,2012
Elansar,0,0,0,0,0,0,2012
Endless Space - Collection,77,36,7.3,534,89.4,74.61073826,2012
English Country Tune,0,3,8,20,5,80,2012
ETHER VAPOR Remaster,0,1,5.8,13,2.3,58,2012
Euro Truck Simulator 2,79,18,8.7,1146,132.6,85.91402715,2012
Everquest,85,17,7.9,59,22.9,83.45414847,2012
Evochron Mercenary,70,7,7.6,64,13.4,72.86567164,2012
eXceed - Gun Bullet Children,0,0,5.1,8,0.8,51,2012
eXceed 2nd - Vampire REX,0,0,7.1,9,0.9,71,2012
eXceed 3rd - Jade Penetrate Black Package,0,0,7,9,0.9,70,2012
F1 2012,80,15,7.1,115,26.5,76.09433962,2012
F1 RACE STARS,62,8,5.4,52,13.2,58.84848485,2012
Fairy Bloom Freesia,0,0,6,27,2.7,60,2012
Fallen Earth Free2Play,0,0,0,0,0,0,2012
Far Cry 3,88,43,8.3,3554,398.4,83.53965863,2012
Fieldrunners,0,1,5.8,26,3.6,58,2012
Fireburst,59,5,4.4,7,5.7,57.15789474,2012
Fly'N,80,7,7.7,62,13.2,78.59090909,2012
Foreign Legion: Multi Massacre,0,2,5.6,10,3,56,2012
Fortune Summoners,60,6,7.8,33,9.3,66.38709677,2012
Fowl Space,0,3,5.2,5,3.5,52,2012
Fray: Reloaded Edition,27,8,2.4,29,10.9,26.20183486,2012
FTL: Faster Than Light,84,42,8.4,1383,180.3,84,2012
Galactic Civilizations I: Ultimate Edition,0,0,0,0,0,0,2012
Galaxy on Fire 2 Full HD,63,7,6.6,56,12.6,64.33333333,2012
Game of Thrones,58,23,6.5,359,58.9,62.26655348,2012
Garshasp: Temple of the Dragon,0,2,6.6,16,3.6,66,2012
Gateways,72,8,7.7,19,9.9,72.95959596,2012
Gemini Wars,53,8,6.5,22,10.2,55.58823529,2012
Giana Sisters: Twisted Dreams,77,21,7.7,163,37.3,77,2012
Golden Axe III,0,0,8.2,6,0.6,82,2012
Gotham City Impostors Free to Play,65,14,6.6,130,27,65.48148148,2012
Gratuitous Tank Battles,69,9,6.7,23,11.3,68.59292035,2012
Great Big War Game,0,1,0,0,1,0,2012
GT Legends,84,21,7.8,51,26.1,82.82758621,2012
GTR - FIA GT Racing Game,85,24,7.9,43,28.3,84.08833922,2012
GTR 2 FIA GT Racing Game,0,0,0,0,0,0,2012
Guns of Icarus Online,64,7,7.8,326,39.6,75.52525253,2012
"Hack, Slash, Loot",0,3,4.4,32,6.2,44,2012
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,75,6,7.5,54,11.4,75,2012
"Hamlet or the Last Game without MMORPG Features, Shaders ...",0,1,6.9,13,2.3,69,2012
Hard Reset Extended Edition,0,0,8.3,4,0.4,83,2012
Hegemony Gold: Wars of Ancient Greece,0,3,6.7,19,4.9,67,2012
Hell Yeah! Wrath of the Dead Rabbit,64,7,7.4,77,14.7,69.23809524,2012
Hero Academy,75,5,6.1,46,9.6,68.29166667,2012
Hidden Mysteries: Titanic,0,0,0,0,0,0,2012
Hitman: Absolution,79,26,7.1,1431,169.1,72.2300414,2012
Home,69,10,6,72,17.2,65.23255814,2012
Hotline Miami,85,51,8.6,1304,181.4,85.71885336,2012
Hubert's Island Adventure: Mouse o' War,0,0,0,0,0,0,2012
I Am Alive,66,10,6,292,39.2,61.53061224,2012
iBomber Attack,0,0,6,8,0.8,60,2012
iBomber Defense Pacific,0,1,5.5,21,3.1,55,2012
Indie Game: The Movie,0,0,0,0,0,0,2012
INIT.,0,0,0,0,0,0,2012
Insane 2,0,3,6.4,16,4.6,64,2012
Insanely Twisted Shadow Planet,76,4,7.2,60,10,73.6,2012
Intrusion 2,80,5,6.9,76,12.6,73.36507937,2012
Inversion,59,6,6.7,114,17.4,64.24137931,2012
Iron Brigade,75,7,5.3,41,11.1,66.87387387,2012
Iron Front: Digital War Edition,55,20,6.7,93,29.3,58.80887372,2012
Iron Sky: Invasion,49,9,6.2,19,10.9,51.26605505,2012
Jagged Alliance - Back in Action,0,2,8.5,23,4.3,85,2012
Jagged Alliance 2 - Wildfire,62,35,5.5,188,53.8,59.55390335,2012
Jagged Alliance: Crossfire,63,8,4.3,38,11.8,56.55932203,2012
Jane's Advanced Strike Fighters,48,4,3.3,15,5.5,43.90909091,2012
Jet Set Radio,0,0,6.8,56,5.6,68,2012
Karateka,48,4,4.6,28,6.8,47.17647059,2012
King Arthur II: The Role-Playing Wargame,66,39,6.6,94,48.4,66,2012
Kingdoms of Amalur: Reckoning,81,25,6.6,1130,138,68.7173913,2012
King's Bounty: Warriors of the North,74,14,7.1,95,23.5,72.78723404,2012
Krater,52,36,7.1,209,56.9,58.97891037,2012
Kung Fu Strike - The Warrior's Rise,63,4,7.3,29,6.9,67.20289855,2012
Legacy of Kain: Defiance,70,11,8.7,79,18.9,77.10582011,2012
Legacy of Kain: Soul Reaver,0,0,8.9,69,6.9,89,2012
Legacy of Kain: Soul Reaver 2,77,10,8.8,92,19.2,82.27083333,2012
Legend of Grimrock,82,51,8.1,703,121.3,81.42044518,2012
Legends of Atlantis: Exodus,0,1,0,0,1,0,2012
LEGO Batman 2 DC Super Heroes,81,6,7.6,71,13.1,78.29007634,2012
LEGO Harry Potter: Years 5-7,80,5,8.3,57,10.7,81.59813084,2012
LEGO The Lord of the Rings,80,6,8.1,139,19.9,80.69849246,2012
Little Inferno,68,17,7.5,241,41.1,72.10462287,2012
Lone Survivor: The Director's Cut,81,24,7.3,142,38.2,78.02617801,2012
Lucius,59,23,6.1,161,39.1,59.82352941,2012
Lunar Flight,0,3,8.9,49,7.9,89,2012
Luxor Evolved,0,2,8.4,7,2.7,84,2012
Luxor: Amun Rising HD,0,0,8,5,0.5,80,2012
Mabinogi,0,2,7.4,28,4.8,74,2012
MacGuffin's Curse,73,4,7.8,8,4.8,73.83333333,2012
Magic: The Gathering - Duels of the Planeswalkers 2013,77,11,6.9,100,21,73.19047619,2012
Magical Diary: Horse Hall,0,1,7.5,16,2.6,75,2012
Magical Drop V,0,3,6.7,19,4.9,67,2012
MapleStory,0,0,0,0,0,0,2012
Max Payne 3,87,30,7.7,2390,269,78.11524164,2012
McPixel,76,4,6.2,139,17.9,65.12849162,2012
MDK2 HD,73,5,6.5,24,7.4,70.40540541,2012
Memento Mori,66,12,7.7,31,15.1,68.25827815,2012
Men of War: Condemned Heroes,57,12,6.4,28,14.8,58.32432432,2012
Miasmata,76,21,7.7,115,32.5,76.35384615,2012
Midnight Mysteries 3: Devil on the Mississippi,0,0,7.8,4,0.4,78,2012
Midnight Mysteries 4: Haunted Houdini,0,1,8,7,1.7,80,2012
Midnight Mysteries: Salem Witch Trials,0,2,0,0,2,0,2012
Miner Warfare,0,0,0,0,0,0,2012
Miner Wars 2081,52,9,6,70,16,55.5,2012
Miner Wars Arena,0,2,6.8,6,2.6,68,2012
Mutant Storm: Reloaded,0,0,0,0,0,0,2012
Myst V: End of Ages,80,26,7.7,53,31.3,79.49201278,2012
Nancy Drew: The Deadly Device,0,3,0,0,3,0,2012
Nancy Drew: Tomb of the Lost Queen,0,2,0,0,2,0,2012
Natural Selection 2,80,28,8.5,624,90.4,83.45132743,2012
Nethergate: Resurrection,0,0,8,4,0.4,80,2012
New Star Soccer 5,0,0,6.5,11,1.1,65,2012
Nexuiz,54,6,6.9,57,11.7,61.30769231,2012
NiGHTS Into Dreams,0,1,8,24,3.4,80,2012
Noitu Love 2: Devolution,80,4,8.3,24,6.4,81.125,2012
Notch - The Innocent LunA: Eclipsed SinnerS,0,0,0,0,0,0,2012
Of Orcs And Men,69,14,6.7,194,33.4,67.83832335,2012
Offspring Fling!,79,4,6.9,36,7.6,74.26315789,2012
Oil Rush,67,23,6.5,55,28.5,66.61403509,2012
Orcs Must Die! 2,83,43,7.9,525,95.5,80.80104712,2012
Painkiller Hell & Damnation,64,33,6.6,172,50.2,64.68525896,2012
Painkiller: Recurring Evil,38,4,3.8,37,7.7,38,2012
Party of Sin,0,2,4.4,10,3,44,2012
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,77,18,7.3,55,23.5,76.06382979,2012
Phantasy Star II,0,0,0,0,0,0,2012
Phantasy Star III: Generations of Doom,0,0,5.8,4,0.4,58,2012
Phantasy Star IV: The End of the Millennium,0,0,8.3,8,0.8,83,2012
Phineas and Ferb: New Inventions,0,0,0,0,0,0,2012
Pickers,0,1,0,0,1,0,2012
Pid,63,11,7.7,68,17.8,68.34831461,2012
Pineapple Smash Crew,62,10,7.5,15,11.5,63.69565217,2012
PixelJunk Eden,81,4,6.8,31,7.1,75.32394366,2012
Planets Under Attack,0,3,4.9,18,4.8,49,2012
PlanetSide 2,84,42,7,1305,172.5,73.40869565,2012
Playing History - The Plague,0,0,0,0,0,0,2012
Port Royale 3,54,17,5.6,56,22.6,54.49557522,2012
POSTAL 2,50,27,8,367,63.7,67.28414443,2012
Postal III,24,20,3,273,47.3,27.46300211,2012
Primal Carnage,67,15,7.6,129,27.9,71.16129032,2012
Primordia,72,29,8.8,171,46.1,77.93492408,2012
Prototype 2,76,12,6.4,431,55.1,66.61343013,2012
Puddle,0,3,5.5,16,4.6,55,2012
Quantum Conundrum,77,60,7.3,190,79,76.03797468,2012
R.A.W. Realms of Ancient War,39,7,4.7,49,11.9,42.29411765,2012
Rayman Origins,86,11,8.4,373,48.3,84.45548654,2012
Really Big Sky,0,3,5.1,38,6.8,51,2012
Realm of the Mad God,82,6,7.1,164,22.4,73.94642857,2012
Resident Evil: Operation Raccoon City,48,8,3.9,208,28.8,41.5,2012
Resonance,76,35,7.7,108,45.8,76.23580786,2012
Revelations 2012,0,3,1.9,61,9.1,19,2012
Ridge Racer Unbounded,72,9,6.2,82,17.2,67.23255814,2012
Rigonauts,60,5,5.3,6,5.6,59.25,2012
Risen 2: Dark Waters,69,51,5.7,780,129,61.74418605,2012
Rocketbirds: Hardboiled Chicken,74,6,7.3,44,10.4,73.57692308,2012
Rocksmith,78,5,8.2,57,10.7,80.13084112,2012
Roller Coaster Rampage,0,1,0,0,1,0,2012
ROSE Online,0,0,0,0,0,0,2012
Rotastic,0,0,0,0,0,0,2012
Rune Classic,0,0,6.4,10,1,64,2012
Sacred 2 Gold,0,0,7.5,27,2.7,75,2012
Scary Girl,0,2,5.5,6,2.6,55,2012
Scoregasm,0,3,8.5,6,3.6,85,2012
Scribblenauts Unlimited,75,14,7.7,178,31.8,76.11949686,2012
Sea Dogs: To Each His Own - Pirate Open World RPG,0,0,6.2,14,1.4,62,2012
SEAL Team 12,0,0,0,0,0,0,2012
Secret Files 3,67,14,6.1,20,16,66.25,2012
Serious Sam 2,74,31,6.9,182,49.2,72.1504065,2012
Shad'O,68,7,6.6,48,11.8,67.18644068,2012
Shank 2,72,12,6.4,123,24.3,67.95061728,2012
Sherlock Holmes and The Hound of The Baskervilles,0,0,7,6,0.6,70,2012
Sine Mora,77,5,7.3,80,13,74.53846154,2012
Sins of a Solar Empire: Rebellion,82,24,7.8,261,50.1,79.91616766,2012
Sleeping Dogs: Ghost Pig,0,0,0,0,0,0,2012
Snapshot,74,8,7.3,20,10,73.8,2012
Sniper Elite V2,66,21,6.7,540,75,66.72,2012
Snuggle Truck,0,2,4.9,21,4.1,49,2012
SOL: Exodus,57,16,6.9,16,17.6,58.09090909,2012
Sonic Adventure 2,0,0,8.4,72,7.2,84,2012
Sonic CD,0,0,8.7,40,4,87,2012
Sonic the Hedgehog 4 - Episode I,0,1,5.6,43,5.3,56,2012
Sonic the Hedgehog 4 - Episode II,54,5,6.7,70,12,61.58333333,2012
Space Ark,0,1,0,0,1,0,2012
SpaceCorn,0,0,0,0,0,0,2012
Spec Ops: The Line,76,16,8.2,1388,154.8,81.37984496,2012
SpellForce 2: Faith in Destiny,55,12,6,33,15.3,56.07843137,2012
Spirits,0,0,6.7,6,0.6,67,2012
Splice,70,6,7.6,38,9.8,72.32653061,2012
Stacking,80,9,7.7,97,18.7,78.44385027,2012
Star Trek Online,66,34,6.2,712,105.2,63.29277567,2012
STAR WARS Knights of the Old Republic II - The Sith Lords,85,31,8.4,730,104,84.29807692,2012
Starpoint Gemini,0,0,0,0,0,0,2012
Stealth Bastard Deluxe,0,0,0,0,0,0,2012
Stellar Impact,74,5,7.1,38,8.8,72.70454545,2012
Storm in a Teacup,0,1,0,0,1,0,2012
Street Fighter X Tekken,79,8,6.3,140,22,68.81818182,2012
Streets of Rage 3,0,0,0,0,0,0,2012
Stronghold 3 Gold,75,4,4.8,90,13,56.30769231,2012
Stronghold Kingdoms,0,1,5,20,3,50,2012
Sugar Cube: Bittersweet Factory,0,3,5,9,3.9,50,2012
Super Crate Box,0,0,7.8,21,2.1,78,2012
Super Hexagon,88,4,8.4,224,26.4,84.60606061,2012
Superbrothers: Sword & Sworcery EP,83,10,6.4,214,31.4,70.05095541,2012
Sword of the Stars II: Enhanced Edition,65,5,7.1,68,11.8,68.45762712,2012
Symphony,75,13,7.7,49,17.9,75.54748603,2012
Tales From Space: Mutant Blobs Attack,83,5,7.9,41,9.1,81.1978022,2012
TDP4:Team Battle,0,0,0,0,0,0,2012
Test Drive: Ferrari Racing Legends,0,2,7,28,4.8,70,2012
The Basement Collection,0,1,7.7,45,5.5,77,2012
The Blackwell Legacy,80,6,7.9,77,13.7,79.4379562,2012
The Bluecoats: North vs South,0,2,0,0,2,0,2012
The Book of Unwritten Tales,82,32,8.3,147,46.7,82.31477516,2012
The Book of Unwritten Tales: The Critter Chronicles,73,14,6.8,30,17,72.11764706,2012
The Dark Eye: Chains of Satinav,75,24,7.7,125,36.5,75.68493151,2012
The Darkness II,77,20,7.6,491,69.1,76.2894356,2012
The Dream Machine: Chapter 1 & 2,75,13,8.3,45,17.5,77.05714286,2012
The Juicer,0,0,0,0,0,0,2012
The Lord of the Rings Online,88,6,6.9,67,12.7,77.97637795,2012
The Old Tree,0,0,5,7,0.7,50,2012
The Revenge of Shinobi,0,0,0,0,0,0,2012
The Testament of Sherlock Holmes,73,18,7.9,140,32,75.625,2012
The Walking Dead,38,13,2.6,306,43.6,29.57798165,2012
The Witcher 2: Assassins of Kings Enhanced Edition,88,76,8.5,4792,555.2,85.41066282,2012
They Bleed Pixels,74,8,7.5,83,16.3,74.50920245,2012
Thief Gold,0,0,0,0,0,0,2012
Thief II: The Metal Age,87,18,9,234,41.4,88.69565217,2012
Thirty Flights of Loving,88,10,5,180,28,63.57142857,2012
Thomas Was Alone,77,17,8.1,337,50.7,79.65877712,2012
Ticket to Ride,0,0,7.6,21,2.1,76,2012
Tiny and Big: Grandpa's Leftovers,75,30,7.4,98,39.8,74.75376884,2012
Tiny Troopers,57,7,5.7,17,8.7,57,2012
Titan Attacks!,0,2,7.6,19,3.9,76,2012
To the Moon,81,26,9,1224,148.4,88.42318059,2012
Tobari and the Night of the Curious Moon,0,1,0,0,1,0,2012
ToeJam & Earl in Panic on Funkotron,0,0,0,0,0,0,2012
Tom Clancy's Ghost Recon: Future Soldier,71,13,5.1,372,50.2,56.17928287,2012
Tomb Raider I,0,0,0,0,0,0,2012
Tomb Raider II,0,0,8.1,48,4.8,81,2012
Tomb Raider III,0,0,8.2,34,3.4,82,2012
Tomb Raider IV: The Last Revelation,0,0,0,0,0,0,2012
Tomb Raider V: Chronicles,0,0,0,0,0,0,2012
Tomb Raider VI: The Angel of Darkness,0,0,0,0,0,0,2012
Torchlight II,88,67,8.5,1938,260.8,85.77070552,2012
Total War: Shogun 2 - Fall of the Samurai,86,45,8.5,374,82.4,85.5461165,2012
Tower Wars,59,6,6.6,57,11.7,62.41025641,2012
Towns,0,3,4,125,15.5,40,2012
Toy Soldiers,71,4,7.4,86,12.6,73.04761905,2012
Train of Afterlife,0,1,0,0,1,0,2012
Tribes: Ascend,86,30,7.8,583,88.3,80.7180068,2012
Triple Town,0,2,7.3,15,3.5,73,2012
Tropical Fish Shop 2,0,0,0,0,0,0,2012
Tryst,50,16,6.4,18,17.8,51.41573034,2012
Tsukumogami,0,0,0,0,0,0,2012
Unity of Command: Stalingrad Campaign,0,1,6.8,5,1.5,68,2012
Unmechanical,74,24,7.8,76,31.6,74.96202532,2012
Unstoppable Gorg,73,26,6.7,30,29,72.37931034,2012
VectorMan 2,0,0,0,0,0,0,2012
Venusian Vengeance,0,1,0,0,1,0,2012
Vessel,81,26,7.7,112,37.2,79.79569892,2012
Viking: Battle for Asgard,65,6,5.6,63,12.3,60.3902439,2012
Vindictus,76,6,7,130,19,71.89473684,2012
Waking Mars,79,5,7.7,71,12.1,77.82644628,2012
Wanderlust: Rebirth,0,3,4.8,29,5.9,48,2012
Wargame: European Escalation,0,0,0,0,0,0,2012
Warlock - Master of the Arcane,0,0,0,0,0,0,2012
Warp,75,9,5.8,47,13.7,69.16788321,2012
Waveform,0,0,0,0,0,0,2012
Wizorb,0,0,0,0,0,0,2012
Wonder Boy in Monster World,0,0,0,0,0,0,2012
Worms Revolution,73,16,6.7,118,27.8,70.45323741,2012
XCOM: Enemy Unknown,89,57,8.2,2341,291.1,83.370663,2012
Yesterday,65,33,6.9,64,39.4,65.64974619,2012
Ys Origin,76,7,8.4,117,18.7,81.00534759,2012
Ys: The Oath in Felghana,73,7,7.8,53,12.3,75.15447154,2012
Zombie Driver HD,0,1,5.6,24,3.4,56,2012
140,0,6,7.3,69,12.9,73,2013
"10,000,000",67,5,7.2,48,9.8,69.44897959,2013
1953 - KGB Unleashed,0,0,6.5,20,2,65,2013
3079 -- Block Action RPG,0,0,6.8,9,0.9,68,2013
7 Days to Die,0,0,7.2,177,17.7,72,2013
7 Grand Steps: What Ancients Begat,69,4,7.1,29,6.9,69.84057971,2013
9.03m,0,1,6.6,16,2.6,66,2013
99 Spirits,0,2,6,8,2.8,60,2013
A Valley Without Wind 2,68,6,7.2,31,9.1,69.36263736,2013
A Walk in the Dark,67,4,5.7,16,5.6,64.14285714,2013
Aarklash: Legacy,72,13,7.7,105,23.5,74.23404255,2013
Aartform Curvy 3D 3.0,0,0,0,0,0,0,2013
Ace Combat Assault Horizon - Enhanced Edition,77,14,5.9,168,30.8,67.18181818,2013
Affairs of the Court: Choice of Romance,0,0,0,0,0,0,2013
Age of Conan: Unchained,0,0,7.4,35,3.5,74,2013
Age of Empires II HD,68,20,7.9,554,75.4,76.08222812,2013
Agricultural Simulator 2013 - Steam Edition,0,0,3,15,1.5,30,2013
Agricultural Simulator: Historical Farming,0,0,0,0,0,0,2013
Air Conflicts: Vietnam,43,9,2.8,25,11.5,39.73913043,2013
Airport Simulator 2014,0,0,2.4,32,3.2,24,2013
Alex Hunter - Lord of the Mind Platinum Edition,0,1,0,0,1,0,2013
Alien Rage - Unlimited,52,27,6.8,169,43.9,58.1594533,2013
Alien Spidy,0,1,6.4,8,1.8,64,2013
Alone in the Dark,55,19,5.6,156,34.6,55.45086705,2013
Alone in the Dark: The New Nightmare,66,16,7.6,39,19.9,67.95979899,2013
America's Army: Proving Grounds,0,0,7.5,23,2.3,75,2013
Amnesia: A Machine for Pigs,72,59,5.9,863,145.3,64.27873365,2013
Anachronox,77,18,8.1,78,25.8,78.20930233,2013
Angelica Weaver: Catch Me When You Can,0,0,6,9,0.9,60,2013
Angry Birds Space,0,2,6.5,33,5.3,65,2013
Angry Video Game Nerd Adventures,77,7,7.6,113,18.3,76.38251366,2013
Anna - Extended Edition,75,5,6,74,12.4,66.0483871,2013
Anodyne,75,11,6.6,62,17.2,71.75581395,2013
Anomaly 2,77,27,7.7,114,38.4,77,2013
Anomaly Korea,0,0,7.3,12,1.2,73,2013
Anomaly Warzone Earth Mobile Campaign,0,0,7.3,4,0.4,73,2013
Another World ??20th Anniversary Edition,0,2,7.7,44,6.4,77,2013
Antichamber,82,50,8.3,563,106.3,82.52963311,2013
Arma 3,74,38,7.5,942,132.2,74.71255673,2013
Arma Tactics,47,5,5.7,33,8.3,50.97590361,2013
Armada 2526 Gold Edition,0,0,6.6,5,0.5,66,2013
Artemis Spaceship Bridge Simulator,0,0,8.6,13,1.3,86,2013
Assassin's Creed IV Black Flag,84,10,7.7,1683,178.3,77.39259675,2013
A-Train 8,0,0,0,0,0,0,2013
Avadon 2: The Corruption,82,4,7.7,31,7.1,79.81690141,2013
Axis Game Factory's AGFPRO v3,0,0,0,0,0,0,2013
Bad Bots,49,8,4.6,18,9.8,48.44897959,2013
Bad Hotel,0,1,3.3,10,2,33,2013
Baldur's Gate II: Enhanced Edition,78,34,7.4,317,65.7,76.07001522,2013
Baldur's Gate: Enhanced Edition,78,39,6.6,374,76.4,72.12565445,2013
Ballpoint Universe - Infinite,0,1,6,7,1.7,60,2013
Batman: Arkham Origins,74,17,7.5,1276,144.6,74.8824343,2013
Battle Worlds: Kronos,71,15,7.1,71,22.1,71,2013
Battleship,0,0,0,0,0,0,2013
Beast Boxing Turbo,0,0,6.6,7,0.7,66,2013
Beatbuddy: Tale of the Guardians,75,20,7.4,36,23.6,74.84745763,2013
Bientot l'ete,62,12,4.4,32,15.2,58.21052632,2013
Bionic Dues,71,6,7.6,62,12.2,73.54098361,2013
BioShock Infinite,94,68,8.6,7856,853.6,86.63730084,2013
