"year","title","tags","description"
2013,"Saints Row IV","Open World,Action,Comedy,Co-op,Third-Person Shooter,Superhero,Sandbox,Character Customization,Funny,Third Person,Adventure,Online Co-Op,Aliens,Parody ,Multiplayer,Great Soundtrack,Singleplayer,Sci-fi,Female Protagonist,Dark Humor",",About This Game,The US President must save the Earth from alien overlord Zinyak using an arsenal of superpowers and strange weapons in the wildest open world game everThe epic conclusion to the game that changed all the rules! The Saints have gone from the crackhouse to the White House—but the Earth has been invaded and it’s up to you to free the world from Overlord Zinyak and his alien empire With homies new and old by your side, and an arsenal of superpowers and strange weapons, you must save the world in the wildest open world game ever!FEATURESThe American (Fever) Dream – Play as the President of the United States in a story that spans countries, space, and time  Saints Row IV is to Saints Row The Third what Saints Row The Third is to Do The Right Thing  You’re not readySuper Hero-in-Chief – Leap over buildings  Kill people with your mind  Run through tanks  Those are some of the most mundane powers you will wield in your quest to stop an alien menace hell-bent on destroying the EarthAlien Toys of Destruction - Wield an impressive array of alien vehicles and weapons… FOR SCIENCE!Custom Weapons, Custom Mayhem – You’ve customized your character  You’ve customized your clothes  Now you can complete the look with our all new weapon customization system  Turn traditional weapons into exotic conversation pieces!Dynamic Duo - Seamless drop-in, drop-out co-op, a Saints Row standard, improved The only thing better than one malicious super-powered President is two "
2013,"Papers, Please","Indie,Political,Simulation,Point & Click,Singleplayer,Dystopian ,Pixel Graphics,Puzzle,Retro,Multiple Endings,Atmospheric,Story Rich,Adventure,Strategy,2D,Casual,Great Soundtrack,Addictive,Replay Value,Difficult",",About This Game,Congratulations The October labor lottery is complete Your name was pulled For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint An apartment will be provided for you and your family in East Grestin Expect a Class-8 dwelling Glory to ArstotzkaThe communist state of Arstotzka has just ended a 6-year war with neighboring Kolechia and reclaimed its rightful half of the border town, Grestin Your job as immigration inspector is to control the flow of people entering the Arstotzkan side of Grestin from Kolechia Among the throngs of immigrants and visitors looking for work are hidden smugglers, spies, and terroristsUsing only the documents provided by travelers and the Ministry of Admission's primitive inspect, search, and fingerprint systems you must decide who can enter Arstotzka and who will be turned away or arrested"
2013,"Trine 2: Complete Story","Platformer,Adventure,Puzzle,Fantasy,Co-op,Indie,Online Co-Op,Local Co-Op,Action,Beautiful,Physics,Multiplayer,Great Soundtrack,Singleplayer,Atmospheric,2D,Casual,RPG,Medieval,Local Multiplayer",",About This Game,Trine 2 is a sidescrolling game of action, puzzles and platforming where you play as one of Three Heroes who make their way through dangers untold in a fantastical fairytale worldJoin Amadeus the Wizard, Pontius the Knight and Zoya the Thief in their adventure full of friendship, magic and betrayalTrine 2 Complete Story fully integrates the Goblin Menace expansion campaign and the all-new unlockable Dwarven Caverns level into one mighty fairytale All owners of Trine 2 Goblin Menace are automatically upgraded to the Complete Story editionKey Features Complete Story edition features the all-new unlockable Dwarven Caverns level that takes our heroes on a journey through deep and dark lava-filled tunnels resonating with ancient legends 20 levels chock-full of adventure, physics-based puzzles, hazards, enemies and contraptions  3 Heroes – Amadeus the Wizard, Pontius the Knight and Zoya the Thief, each with their own skills – and personalities charming and otherwise Choose new skills to aid the heroes in their quest; fight dragon fire with fire arrows or turn your goblin enemies to ice, fly across chasms with the Kitesail Shield, levitate monsters to great heights and then trap them in a box, or slow down the game world with the time-bending gravity bubble! Travel through beautiful vistas and environments (sometimes using extremely unreliable methods of transportation), including a castle by the treacherous sea, a burning desert, snowy ice mountains, all the way to the insides of a giant worm Accessible for both casual and core gamers Online and local co-op with up to three players Save anywhere to play as long or short sessions as you like and use the Unlimited Character Mode and Game+ for additional replay value Superb graphics with next-gen visuals use impressive technical effects, immerse yourself in the fantastical fairytale world full of magic and wonder Hidden collectibles for extra adventuring Fun and challenging achievements to unlock Full language support for English, French, German and Spanish, and optional subtitling for more than 10 languages Supports NVIDIA 3D Vision Trine 2 Soundtrack and Artbook PackDigital Artbook with commentary by Trine 2 artists highlighting the design of levels, enemies, buildings and many environments Also features an exclusive look at material not used in the final gameSoundtrack by award-winning Ari Pulkkinen, featuring a total of 30 tracks from Trine 2 and Goblin Menace in MP3 format!The Digital Artbook will be placed in your Trine 2 folder in the Steam directorySteam\steamapps\common\Trine 2\ArtbookThe Soundtrack will be placed in your Trine 2 folder in the Steam directorySteam\steamapps\common\Trine 2\Soundtrack"
2013,"Monaco: What's Yours Is Mine","Co-op,Stealth,Indie,Heist,Local Co-Op,Strategy,Online Co-Op,Top-Down,Action,Multiplayer,Crime,Casual,Great Soundtrack,Adventure,Controller,Local Multiplayer,Pixel Graphics,2D,Singleplayer,Loot",",About This Game,Monaco What's Yours Is Mine is a single player or co-op heist game  Assemble a crack team of thieves, case the joint, and pull off the perfect heistThe Locksmith Blue-collar infiltration expertThe Lookout She can see and hear everything a natural leaderThe Pickpocket A hobo with a monkey and a penchant for crimeThe Cleaner A silent psychopath Jack The Ripper in pinkThe Mole Big and dumb likes to tunnelThe Gentleman He doesn't always wear a disguise, but when he does, he looks fantasticThe Hacker Armies of viruses shut down security a modern day warlockThe Redhead Manipulative and murderous a lady always gets what she wantsPlay with up to four people online or on the same screen Compete with others via daily leaderboards  Find out why it won the 2010 IGF and has been described by PCGamer as ""one of the best co-op games of all time"""
2013,"Outlast","Horror,Atmospheric,First-Person,Survival Horror,Survival,Gore,Adventure,Singleplayer,Action,Psychological Horror,Indie,Dark,Stealth,Nudity,Parkour,Difficult,3D Vision,Walking Simulator,Sci-fi,FPS",",About This Game,Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret if you dareSynopsisIn the remote mountains of Colorado, horrors wait inside Mount Massive Asylum A long-abandoned home for the mentally ill, recently re-opened by the “research and charity” branch of the transnational Murkoff Corporation, the asylum has been operating in strict secrecy… until nowActing on a tip from an anonymous source, independent journalist Miles Upshur breaks into the facility, and what he discovers walks a terrifying line between science and religion, nature and something else entirely Once inside, his only hope of escape lies with the terrible truth at the heart of Mount MassiveOutlast is a true survival horror experience which aims to show that the most terrifying monsters of all come from the human mind FeaturesTrue Survival Horror Experience You are no fighter - if you want to survive the horrors of the asylum, your only chance is to run or hideImmersive Graphics AAA-quality graphics give players a detailed, terrifying world to exploreHide and Sneak Stealth-based gameplay, with parkour-inspired platforming elementsUnpredictable Enemies Players cannot know when - and from where - one of the asylum’s terrifying inhabitants will finally catch up to themReal Horror Outlast’s setting and characters are inspired by real asylums and cases of criminal insanityWarningOutlast contains intense violence, gore, graphic sexual content, and strong language Please enjoy"
2013,"Brutal Legend","Action,Comedy,Adventure,Open World,Great Soundtrack,Music,Third Person,Strategy,Hack and Slash,RTS,Funny,Fantasy,Singleplayer,Multiplayer,Atmospheric,Action-Adventure,Gothic,Beat 'em up,Action RPG,RPG",",About This Game,Brütal Legend is an action-adventure that marries visceral action combat with open-world freedom Set in a universe somewhere between Lord of the Rings and Spinal Tap, it’s a fresh take on the action/driving genre, which in this case is full of imitation cover bands, demons intent on enslaving humanity and Heavy metal tunes Featuring the talents of comedian, actor and musician, Jack Black as super roadie Eddie Riggs, as well as cameos by some of the biggest names in metal music it's a wild ride in the belly of the beast that is not to be missed by gamers and Metalheads alikeIncluded as a free bonus in the PC version of Brütal Legend are both the Hammer of Infinite Fate and Tears of the Hextadon multiplayer map packsStoryThe vivid and wildly creative world of Brütal Legend is brought to life through a spate of chrome, leather, rocker babes, epic music, fire-breathing/stud-wearing beasts, mountains made of guitar amps, and more Follow Eddie as he embarks on a tour of epic destruction with an axe, a guitar, and his minions as he commands the power of rock in epic band battles It’s lighter-flicking awesomeness that will melt your face clean offCombatBrütal Legend’s combat is a combination of classic action slasher and real time strategy mechanics  Melee and ranged combat come from your double-sided broadaxe and demon-slaying, pyrotechnic-creating guitar  Add that 1-2 punch to a guitar solo mechanic that can summon objects, buff your teammates, or cripple your opponents, and you have a deep, gratifying core gameplay combat loop that is fun for the hardcore and accessible for the casual  On top of that, players will journey from Roadie to Rock God by commanding legions of metalheads into Brütal Victory and sending troops charging into battleA Streaming Open WorldBrütal Legend gives you the freedom to walk, drive, or fly anywhere in a fully streaming open world whose art style is inspired by some of the most iconic and hilariously rad metal album covers ever created Every vista in the beautiful universe of Brütal Legend looks like it was pulled from a Frank Frazetta paintingPacked With Cameos and Voice TalentBrütal Legend is full of cameos from gods of metal like Lemmy Kilmister, Rob Halford, Lita Ford, and many, many others It has a MASSIVE metal soundtrack from every era of metal music 1970’s classic metal to 1980’s hair metal to the scarier cousins of 1990’s metal And of course, Jack Black pays the ultimate homage to metal as Eddie the Roadie, continuing the theme from the work of his band, Tenacious D and his previous films like School of Rock and High FidelityMultiplayer Mayhem4v4 ""skirmish"" multiplayer marries action combat with a strategic unit-control mechanic As the leader of one of the factions in the game, the player will direct his armies in a Battle of the Bands where the trophy is survival Brütal Legend’s multiplayer is online-enabled, so you can conquer your friends online (broadband connection required for online play)MusicThe music in Brütal Legend is truly massive Made up of 108 of the most rocking tracks from 75 different bands representing every sub-genre of metal, it is something to experience in and of itself"
2013,"Company of Heroes 2","Strategy,World War II,RTS,Multiplayer,Tactical,Historical,Singleplayer,Military,War,Co-op,Online Co-Op,Action,Tanks,Real-Time,Real-Time with Pause,Base Building,Atmospheric,Great Soundtrack,Simulation,Adventure",",About This Game,Powered by the Essence Engine 30, the Company of Heroes 2 series feature some unique mechanics rewarding thoughtful players From the TrueSight™ system that emulates the units’ line of sight to the cover-system that encourages clever unit placement – not to mention the combined arms approach and the hard and soft counters gameplay that will make you think twice before trying to destroy a tank with a simple squad of riflemen – each game presents players with an uninterrupted stream of meaningful tactical choices that can turn the tide of warPICK YOUR FIGHTNB multiplayer standalones allow you to play on any map against anyone owning any COH2 productThe Company of Heroes 2 base game gives you access to two multiplayer armies from the Eastern Front the Red Army (SOV) and the Wehrmacht Ostheer (GER) It also comes with a gritty single-player campaign that will give you a chance to familiarize yourself with the series core tenets Step into the boots of a Soviet commander of the Red Army, entrenched in brutal frontline warfare to free Mother Russia from the Enemy invaders! Adjust your tactics to take into account the brutal weather conditions and wield the might of the Soviet Empire as you smash your way to Berlin Company of Heroes 2 The Western Front Armies adds two new factions from the Western Front to the roster of playable multiplayer armies the Oberkommando West (OKW) and the US Forces (USF) While the former puts you in charge of an aggressive and powerful army with very specialized and elite units – yet in very limited numbers – the latter introduces an expeditionary corps that allows for a variety of approaches and very powerful combined arms tactics, but which inevitably falls a bit short in the heavy armor department Company of Heroes 2 Ardennes Assault offers a compelling single-player campaign for the USF faction revolving around the Battle of the Bulge Engage in a dynamic non-linear campaign across the Ardennes landscape consisting of 18 scenarios, choose between three iconic companies, customize their abilities and bear the consequences of your actions as overall company health persists between missions Company of Heroes 2 The British Forces is the latest entry in the series and features this iconic Allied army from WWII (UKF) Experience a unique tech-tree that challenges the player to balance the constant trade-off between mobility and defense Surprise your opponents with your development choices and an open end game configuration Enjoy an army with character and distinctive units & abilities, from the Churchill Crocodile flamethrower tank to the RAF gliderKEY FEATURESAWARD WINNING FRANCHISESequel to the highest rated strategy game of all time returns with an innovative warfare experience that will redefine the Strategy genre once moreESSENCE ENGINE 30Cutting-edge technology that increases the graphical quality and accuracy of deadly combat with the unprecedented TrueSight™ system, the ultrarealistic ColdTech™ dynamic weather that changes strategic warfare forever and improved environmental destructionTACTICAL WARFAREDevelop and utilize your new Commander Abilities and experience the up-close moment-to-moment brutality of frontline warfare through new Dynamic Battle TacticsINTENSE ONLINE COMBATFeaturing the great competitive and co-operative multiplayer that fans have grown to expect from this high-quality and critically acclaimed franchiseMULTIPLAYER ARMIES COMPARISONFind out the multiplayer army (and associated game/standalone) that suits your play style"
2013,"Earth 2150 Trilogy","Strategy,RTS,Sci-fi,Classic",",About This Game,Your heroes and your armies will need strong leadership to take them on a spellbinding odyssey that has everything a gamer’s heart could wish for breathtaking worlds in space, battles against cunning enemies and even downright treason from your own government faction - are you up to it?Accept the challenge…let this gripping EARTH 2150 RTS trilogy thrust you into the far future… and YOU will decide the fate of the universe!The Trilogy includes EARTH 2150 Escape from the Blue Planet, The Moon Project and Lost Souls!FEATURESOver 150 non-Linear missions in 9 campaigns and a high-action Skirmish ModeAggressive and intelligent computer-controlled opponents - a true challengeOver 100 different units and structuresEasy-to-use map editor for creating own missions and campaigns At least hundreds of hours Single player action and endless Multiplayer funOver 50 Multiplayer maps for LAN, Internet and EarthNetUnmatched battle variety build fortified bases, blitz the air, storm with armor, engage with naval units, even dig tunnels for surprise attacksEARTH 2150 ESCAPE FROM THE BLUE PLANETThe 21st century was supposed to herald the dawn of a new age The wars, famines and suffering of the last 20 millennia were to become a distant, fading memory, as scientific advances brought global peace and prosperity Toward the end of the 20th century, a now forgotten US president even went so far as to officially proclaim the arrival of a New World Order, in which right, not might, would govern international relations This bright future was not to be First came a meltdown of the international stock and currency exchanges Then the major international conglomerates were dissolved in a vain attempt to stop the fiscal hemorrhage By 2012 the world economy had collapsed Poverty and hunger caused social and political tensions to flare As the crisis wore on, few were bold or naive enough to predict anything positive for the future Most realized that the planet was on the verge of global conflictIn 2048, the anticipated global conflict broke out with a violence that shook the planet to its core All major centralized governments were destroyed in the maelstrom Europe and Eastern Asia bore the brunt of the devastation, as entire urban centres, from Madrid to Moscow and from Seoul to Singapore were literally wiped off the map The human race has always been known for its resiliency Within a dozen years, the Earth's inhabitants had begun to restore their old nationalities - with a few twists Twelve states of the former United States joined together to form a new country, called the United Civilized States The UCS citizens had essentially given up their old roles as producers and leaders Nearly all work was being performed by robots which are controlled by expert computer systems Not surprisingly, the human inhabitants of the UCS had become lazy and decadentThe 20th-century dream for a better world had ended in death and destructionEARTH 2150 THE MOON PROJECTThe year 2150 … one of the blackest chapters in the history of mankind While the Lunar Corporation, Eurasian Dynasty and the United Civilized States are preparing themselves for the last all-encompassing battle, work is being feverishly carried out on a secret project on the Moon Only the code name of this project is known ………… ""SUNLIGHT""EARTH 2150 LOST SOULSIt is the 7th of December 2150 – in a few hours our beloved planet Earth will no longer existDevastating wars between the Eurasian Dynasty and the United Civilized States have wreaked havoc and caused mortal wounds to our planet, but that is not all, a series of nuclear explosions close to the Antarctic had changed the Earth’s orbit around the sun, glaciers melted, the sea rose to a threatening level, and meteorite showers buried whole parts of the world Famous scientists from the Lunar corporation, a long forgotten colony on the moon first recognized the signs of the imminent catastrophe According to their calculations  the distance between the sun and earth would decrease in the next few years by 17%, which would lead to terrible consequencesThe only hope left for the population was the escape to the red planet Mars Hurry up, cause time is ticking away"
2013,"Sanctum 2","Tower Defense,FPS,Co-op,Strategy,Action,Indie,Sci-fi,Online Co-Op,Multiplayer,First-Person,Shooter,Singleplayer,Survival,Futuristic,Female Protagonist,Great Soundtrack,Aliens,RPG,Funny,Adventure",",About This Game,Sanctum 2 is the sequel to the world’s first Tower Defense/FPS hybrid game Pick from four unique character classes and embark on a mission to protect the oxygen-producing Cores from hordes of deadly aliens who are threatened by their existence Outfit your character exactly the way you want through the new and extensive customization system Choose your own loadout of towers, weapons and perks, but choose wisely because you are humanity’s last defense against the unrelenting hordes set out to destroy itSanctum 2 is a new game completely rebuilt from the ground up using community feedback and innovative design to really push the bar of what an independent studio can doIntense Action – Deep StrategyIn Sanctum 2, you will utilize elements from multiple gameplay genres to succeed Construct towers and walls during the building phase before the enemies attack, then jump into the fray and blast everything to pieces in FPS mode You can progress through the single-player campaign yourself, or play with up to four friends in co-op to discover the secrets of the planet LOEK III and learn the backstory on why the aliens are so intent on destroying the Cores you are sworn to protectKey Features Building on the success of the original game, Sanctum 2 stands alone as the only true FPS/Tower Defense hybrid No other title delivers gameplay that seamlessly combines both genres Tower Defense – Design complex mazes and build powerful towers to stop the enemies from destroying the Cores First-Person Shooter – Don’t just sit back and watch, jump into the action yourself! Four playable character classes – Each with their own unique strengths, weaknesses and weapons Vast Customization System – Pick perks or make the game crazy hard by adding Feats of Strength In-game Visual Novel – Unlock a comic-book page for every map you beat to discover the secrets of LOEK III Progression System – Increase your rank and unlock new weapons, towers and perks 4-Player Co-op – Progress through the storyline yourself or team up with other players whenever you want"
2013,"Total War: ROME II - Emperor Edition","Strategy,Turn-Based Strategy,Historical,Grand Strategy,Rome,Tactical,Multiplayer,War,Turn-Based,Real Time Tactics,RTS,Singleplayer,Online Co-Op,Turn-Based Tactics,Simulation,Moddable,Co-op,Action,Atmospheric,Education",",About This Game,About Total War ROME II - Emperor EditionEmperor Edition is the definitive edition of ROME II, featuring an improved politics system, overhauled building chains, rebalanced battles and improved visuals in both campaign and battle In addition, Emperor Edition includes all content and feature updates made available for ROME II since its launch in September 2013 These include TwitchTV integration, touchscreen controls, new playable factions and units, and Mac compatibilityThe Imperator Augustus Campaign Pack and all Emperor Edition content and features are free, via automatic update, to all existing ROME II ownersIf you’re new to Total War ROME II click the Total War Academy link to learn more https//academytotalwarcom/rome2/About the Imperator Augustus Campaign PackThe Imperator Augustus Campaign Pack is a new playable campaign for ROME II, which rivals the original ROME II Grand Campaign in both scope and scale This campaign comes as part of Total War™ ROME II – Emperor Edition and is available as a free, automatic update to existing owners of Total War™ ROME IIThe Imperator Augustus Campaign Pack is set in 42 BC during the chaotic aftermath of Caesar’s grisly murder The republic remains whole, but its soul is divided as three great men, the members of the Second Triumvirate, hold the future of Rome in the palms of their hands Octavian, Caesar’s adoptive son and the heir to his legacyMarc Antony, Caesar’s loyal friend and most trusted lieutenantLepidus, Pontifex Maximus of Rome and the man who secured Caesar’s dictatorshipWith the territories of The Republic divided between them and the military might of Rome at their beck-and-call, the members of The Second Triumvirate are each in a position to make a bid for leadership, and rule Rome as its first – and only – emperor However, external forces are on the move, looking to exploit the instability of Rome and expand their own territories Will you fight as a defender of Rome and defeat the other members of the Triumvirate? Or lead another faction on a campaign of conquest and expansion, and take advantage of the chaos as the Roman civil war rages?Playable FactionsPlayers may embark on a new Campaign as one of the following playable factionsMarc AntonyLepidusOctavianPompeyIceniMarcomanniDaciaEgyptParthiaArmenia (also now playable in the ROME II Grand Campaign)How far will you go for Rome?The award-winning Total War series returns to Rome, setting a brand new quality benchmark for Strategy gaming Become the world’s first superpower and command the Ancient world’s most incredible war machine Dominate your enemies by military, economic and political means Your ascension will bring both admiration and jealousy, even from your closest alliesWill you suffer betrayal or will you be the first to turn on old friends? Will you fight to save the Republic, or plot to rule alone as Emperor?✢ Plan your conquest of the known world in a massive sandbox turn-based campaign mode (supporting additional 2-player cooperative & competitive modes) Conspiracies, politics, intrigue, revolts, loyalty, honour, ambition, betrayal Your decisions will write your own story✢ Build vast armies and take to the battlefield in real-time combat mode Put your tactical skills to the test as you directly control tens of thousands of men clashing in epic land and sea battles✢ Play for the glory of Rome as one of three families or take command of a huge variety of rival civilisations – each offers a notably different form of gameplay experience with hundreds of unique units from siege engines and heavy cavalry to steel-plated legionaries and barbarian berserkers✢ See exotic ancient cities and colossal armies rendered in incredible detail, as jaw-dropping battles unfold Detailed camera perspectives allow you to see your men shout in victory or scream in pain on the frontline, while a new tactical cam allows a god’s eye view of the carnage to better inform your strategic decisions✢ Extremely scalable experience, with gameplay and graphics performance optimised to match low and high-end hardware alike"
