Tag1,Tag2,value
dynamic narration,2d fighter,0
dystopian ,2d fighter,0
e-sports,2d fighter,0
early access,2d fighter,0
economy,2d fighter,0
education,2d fighter,0
emotional,2d fighter,0
epic,2d fighter,0
episodic,2d fighter,0
experience,2d fighter,0
experimental,2d fighter,0
exploration,2d fighter,0
family friendly,2d fighter,0
fantasy,2d fighter,0
fast-paced,2d fighter,0.003676471
female protagonist,2d fighter,0
fighting,2d fighter,0.045454545
first-person,2d fighter,0
fishing,2d fighter,0
flight,2d fighter,0
fmv,2d fighter,0
football,2d fighter,0
fps,2d fighter,0
funny,2d fighter,0
futuristic,2d fighter,0
gambling,2d fighter,0
game development,2d fighter,0
gamemaker,2d fighter,0
games workshop,2d fighter,0
god game,2d fighter,0
golf,2d fighter,0
gore,2d fighter,0
gothic,2d fighter,0
grand strategy,2d fighter,0
grid-based movement,2d fighter,0
gun customization,2d fighter,0
hack and slash,2d fighter,0
hacking,2d fighter,0
hand-drawn,2d fighter,0.01010101
heist,2d fighter,0
hex grid,2d fighter,0
hidden object,2d fighter,0
historical,2d fighter,0
horror,2d fighter,0
horses,2d fighter,0
hunting,2d fighter,0
illuminati,2d fighter,0
indie,2d fighter,0.000821862
intentionally awkward controls,2d fighter,0
interactive fiction,2d fighter,0
inventory management,2d fighter,0
investigation,2d fighter,0
isometric,2d fighter,0
jrpg,2d fighter,0
kickstarter,2d fighter,0
lara croft,2d fighter,0
lego,2d fighter,0
lemmings,2d fighter,0
level editor,2d fighter,0
linear,2d fighter,0
local co-op,2d fighter,0.001926782
logic,2d fighter,0
loot,2d fighter,0
lore-rich,2d fighter,0
lovecraftian,2d fighter,0
magic,2d fighter,0
management,2d fighter,0
mars,2d fighter,0
martial arts,2d fighter,0
masterpiece,2d fighter,0
match 3,2d fighter,0
mature,2d fighter,0
mechs,2d fighter,0
medieval,2d fighter,0
metroidvania,2d fighter,0
military,2d fighter,0
minigames,2d fighter,0
minimalist,2d fighter,0
mining,2d fighter,0
mmorpg,2d fighter,0
moba,2d fighter,0
mod,2d fighter,0
moddable,2d fighter,0
modern,2d fighter,0
mouse only,2d fighter,0
movie,2d fighter,0
multiple endings,2d fighter,0
music,2d fighter,0
music-based procedural generation,2d fighter,0
mystery,2d fighter,0
mythology,2d fighter,0
narration,2d fighter,0
naval,2d fighter,0
ninja,2d fighter,0
noir,2d fighter,0
nonlinear,2d fighter,0
nsfw,2d fighter,0
nudity,2d fighter,0
offroad,2d fighter,0
old school,2d fighter,0
on-rails shooter,2d fighter,0
online co-op,2d fighter,0
open world,2d fighter,0
otome,2d fighter,0
parkour,2d fighter,0
parody ,2d fighter,0
party-based rpg,2d fighter,0
perma death,2d fighter,0
philisophical,2d fighter,0
photo editing,2d fighter,0
physics,2d fighter,0
pinball,2d fighter,0
pirates,2d fighter,0
platformer,2d fighter,0
point & click,2d fighter,0
political,2d fighter,0
politics,2d fighter,0
pool,2d fighter,0
post-apocalyptic,2d fighter,0
procedural generation,2d fighter,0
programming,2d fighter,0
psychedelic,2d fighter,0
psychological,2d fighter,0
psychological horror,2d fighter,0
puzzle,2d fighter,0
puzzle-platformer,2d fighter,0
pve,2d fighter,0
pvp,2d fighter,0
quick-time events,2d fighter,0
racing,2d fighter,0
real time tactics,2d fighter,0
real-time,2d fighter,0
real-time with pause,2d fighter,0
realistic,2d fighter,0
relaxing,2d fighter,0
resource management,2d fighter,0
retro,2d fighter,0
rhythm,2d fighter,0
robots,2d fighter,0
rogue-like,2d fighter,0
rogue-lite,2d fighter,0
romance,2d fighter,0
rome,2d fighter,0
rpg,2d fighter,0
rpgmaker,2d fighter,0
rts,2d fighter,0
runner,2d fighter,0
sailing,2d fighter,0
sandbox,2d fighter,0
satire,2d fighter,0
sci-fi,2d fighter,0
science,2d fighter,0
score attack,2d fighter,0
sequel,2d fighter,0
sexual content,2d fighter,0
shoot 'em up,2d fighter,0
shooter,2d fighter,0
short,2d fighter,0
side scroller,2d fighter,0
silent protagonist,2d fighter,0
simulation,2d fighter,0
sniper,2d fighter,0
soccer,2d fighter,0
software,2d fighter,0
software training,2d fighter,0
sokoban,2d fighter,0
souls-like,2d fighter,0
space,2d fighter,0
space sim,2d fighter,0
spectacle fighter,2d fighter,0
spelling,2d fighter,0
split screen,2d fighter,0
sports,2d fighter,0.004329004
star wars,2d fighter,0
stealth,2d fighter,0
steam machine,2d fighter,0
steampunk,2d fighter,0
story rich,2d fighter,0
strategy,2d fighter,0.000475511
strategy rpg,2d fighter,0
stylized,2d fighter,0
superhero,2d fighter,0.010869565
supernatural,2d fighter,0
surreal,2d fighter,0
survival,2d fighter,0
survival horror,2d fighter,0
swordplay,2d fighter,0.017857143
tactical,2d fighter,0
tactical rpg,2d fighter,0
tanks,2d fighter,0
team-based,2d fighter,0
text-based,2d fighter,0
third person,2d fighter,0
third-person shooter,2d fighter,0
thriller,2d fighter,0
time attack,2d fighter,0
time management,2d fighter,0
time manipulation,2d fighter,0
time travel,2d fighter,0
top-down,2d fighter,0
top-down shooter,2d fighter,0
touch-friendly,2d fighter,0
tower defense,2d fighter,0
trackir,2d fighter,0
trading,2d fighter,0
trading card game,2d fighter,0
trains,2d fighter,0
transhumanism,2d fighter,0
turn-based,2d fighter,0
turn-based combat,2d fighter,0
turn-based strategy,2d fighter,0
turn-based tactics,2d fighter,0
twin stick shooter,2d fighter,0
typing,2d fighter,0
underground,2d fighter,0
underwater,2d fighter,0
unforgiving,2d fighter,0
utilities,2d fighter,0
vampire,2d fighter,0
video production,2d fighter,0
villain protagonist,2d fighter,0
violent,2d fighter,0
visual novel,2d fighter,0
voice control,2d fighter,0
voxel,2d fighter,0
walking simulator,2d fighter,0
war,2d fighter,0
wargame,2d fighter,0
warhammer 40k,2d fighter,0
web publishing,2d fighter,0
werewolves,2d fighter,0
western,2d fighter,0
word game,2d fighter,0
world war i,2d fighter,0
world war ii,2d fighter,0
wrestling,2d fighter,0
zombies,2d fighter,0
2d fighter,3d platformer,0
3d platformer,3d platformer,0.045454545
4x,3d platformer,0
6dof,3d platformer,0
abstract,3d platformer,0.012345679
action,3d platformer,0.003240324
action rpg,3d platformer,0
action-adventure,3d platformer,0.046875
addictive,3d platformer,0
adventure,3d platformer,0.003265602
agriculture,3d platformer,0
aliens,3d platformer,0
alternate history,3d platformer,0
america,3d platformer,0
animation & modeling,3d platformer,0
anime,3d platformer,0.001536098
arcade,3d platformer,0.001538462
arena shooter,3d platformer,0
artificial intelligence,3d platformer,0
assassin,3d platformer,0
atmospheric,3d platformer,0.003897116
audio production,3d platformer,0
base building,3d platformer,0
based on a novel,3d platformer,0
basketball,3d platformer,0
batman,3d platformer,0
beat 'em up,3d platformer,0
beautiful,3d platformer,0.006896552
benchmark,3d platformer,0
blood,3d platformer,0
board game,3d platformer,0
building,3d platformer,0.002506266
bullet hell,3d platformer,0
bullet time,3d platformer,0
capitalism,3d platformer,0
card game,3d platformer,0
cartoony,3d platformer,0.018867925
casual,3d platformer,0.002739726
character action game,3d platformer,0
character customization,3d platformer,0.006369427
chess,3d platformer,0
choices matter,3d platformer,0
choose your own adventure,3d platformer,0
cinematic,3d platformer,0
city builder,3d platformer,0
class-based,3d platformer,0
classic,3d platformer,0.003382187
co-op,3d platformer,0.001282051
co-op campaign,3d platformer,0
cold war,3d platformer,0
comedy,3d platformer,0.001321004
comic book,3d platformer,0
competitive,3d platformer,0
conspiracy,3d platformer,0
conversation,3d platformer,0
crafting,3d platformer,0.003787879
crime,3d platformer,0
crowdfunded,3d platformer,0
crpg,3d platformer,0
cult classic,3d platformer,0
cute,3d platformer,0.013651877
cyberpunk,3d platformer,0
cycling,3d platformer,0
dark comedy,3d platformer,0
dark fantasy,3d platformer,0
dark humor,3d platformer,0
dating sim,3d platformer,0
demons,3d platformer,0
design & illustration,3d platformer,0
destruction,3d platformer,0
detective,3d platformer,0.008064516
difficult,3d platformer,0.00461361
dinosaurs,3d platformer,0
diplomacy,3d platformer,0
documentary,3d platformer,0
dog,3d platformer,0
dragons,3d platformer,0
drama,3d platformer,0
driving,3d platformer,0
dungeon crawler,3d platformer,0
dungeons & dragons,3d platformer,0
dynamic narration,3d platformer,0
dystopian ,3d platformer,0
e-sports,3d platformer,0
early access,3d platformer,0
economy,3d platformer,0
education,3d platformer,0
emotional,3d platformer,0
epic,3d platformer,0
episodic,3d platformer,0.00862069
experience,3d platformer,0
experimental,3d platformer,0
exploration,3d platformer,0.004608295
family friendly,3d platformer,0.009202454
fantasy,3d platformer,0.001615509
fast-paced,3d platformer,0.007352941
female protagonist,3d platformer,0.006053269
fighting,3d platformer,0
first-person,3d platformer,0.004545455
fishing,3d platformer,0
flight,3d platformer,0
fmv,3d platformer,0
football,3d platformer,0
fps,3d platformer,0.002358491
funny,3d platformer,0.001466276
futuristic,3d platformer,0
gambling,3d platformer,0
game development,3d platformer,0
gamemaker,3d platformer,0
games workshop,3d platformer,0
god game,3d platformer,0
golf,3d platformer,0
gore,3d platformer,0.002717391
gothic,3d platformer,0
grand strategy,3d platformer,0
grid-based movement,3d platformer,0
gun customization,3d platformer,0
hack and slash,3d platformer,0.002816901
hacking,3d platformer,0
hand-drawn,3d platformer,0
heist,3d platformer,0
hex grid,3d platformer,0
hidden object,3d platformer,0
historical,3d platformer,0
horror,3d platformer,0.001872659
horses,3d platformer,0
hunting,3d platformer,0
illuminati,3d platformer,0
indie,3d platformer,0.003287446
intentionally awkward controls,3d platformer,0
interactive fiction,3d platformer,0
inventory management,3d platformer,0
investigation,3d platformer,0
isometric,3d platformer,0
jrpg,3d platformer,0
kickstarter,3d platformer,0
lara croft,3d platformer,0.037037037
lego,3d platformer,0
lemmings,3d platformer,0
level editor,3d platformer,0
linear,3d platformer,0
local co-op,3d platformer,0
logic,3d platformer,0
loot,3d platformer,0
lore-rich,3d platformer,0
lovecraftian,3d platformer,0
magic,3d platformer,0
management,3d platformer,0
mars,3d platformer,0
martial arts,3d platformer,0
masterpiece,3d platformer,0
match 3,3d platformer,0
mature,3d platformer,0.005714286
mechs,3d platformer,0
medieval,3d platformer,0
metroidvania,3d platformer,0
military,3d platformer,0
minigames,3d platformer,0
minimalist,3d platformer,0
mining,3d platformer,0
mmorpg,3d platformer,0
moba,3d platformer,0
mod,3d platformer,0
moddable,3d platformer,0
modern,3d platformer,0
mouse only,3d platformer,0
movie,3d platformer,0
multiple endings,3d platformer,0
music,3d platformer,0
music-based procedural generation,3d platformer,0
mystery,3d platformer,0.004464286
mythology,3d platformer,0
narration,3d platformer,0
naval,3d platformer,0
ninja,3d platformer,0
noir,3d platformer,0.006944444
nonlinear,3d platformer,0
nsfw,3d platformer,0
nudity,3d platformer,0
offroad,3d platformer,0
old school,3d platformer,0.008130081
on-rails shooter,3d platformer,0
online co-op,3d platformer,0
open world,3d platformer,0.001544402
otome,3d platformer,0
parkour,3d platformer,0.017964072
parody ,3d platformer,0
party-based rpg,3d platformer,0
perma death,3d platformer,0
philisophical,3d platformer,0
photo editing,3d platformer,0
physics,3d platformer,0.003030303
pinball,3d platformer,0
pirates,3d platformer,0
platformer,3d platformer,0.0112
point & click,3d platformer,0
political,3d platformer,0
politics,3d platformer,0
pool,3d platformer,0
post-apocalyptic,3d platformer,0.003952569
procedural generation,3d platformer,0.00621118
programming,3d platformer,0
psychedelic,3d platformer,0
psychological,3d platformer,0.011494253
psychological horror,3d platformer,0.004739336
puzzle,3d platformer,0.004239534
puzzle-platformer,3d platformer,0.00990099
pve,3d platformer,0
pvp,3d platformer,0
quick-time events,3d platformer,0
racing,3d platformer,0.002967359
real time tactics,3d platformer,0
real-time,3d platformer,0
real-time with pause,3d platformer,0
realistic,3d platformer,0
relaxing,3d platformer,0
resource management,3d platformer,0
retro,3d platformer,0
rhythm,3d platformer,0
robots,3d platformer,0.005235602
rogue-like,3d platformer,0
rogue-lite,3d platformer,0
romance,3d platformer,0
rome,3d platformer,0
rpg,3d platformer,0
rpgmaker,3d platformer,0
rts,3d platformer,0
runner,3d platformer,0.047619048
sailing,3d platformer,0
sandbox,3d platformer,0.001240695
satire,3d platformer,0
sci-fi,3d platformer,0.004044489
science,3d platformer,0
score attack,3d platformer,0
sequel,3d platformer,0
sexual content,3d platformer,0
shoot 'em up,3d platformer,0
shooter,3d platformer,0.001597444
short,3d platformer,0.005181347
side scroller,3d platformer,0
silent protagonist,3d platformer,0
simulation,3d platformer,0
sniper,3d platformer,0
soccer,3d platformer,0
software,3d platformer,0
software training,3d platformer,0
sokoban,3d platformer,0
souls-like,3d platformer,0
space,3d platformer,0
space sim,3d platformer,0
spectacle fighter,3d platformer,0
spelling,3d platformer,0
split screen,3d platformer,0
sports,3d platformer,0
star wars,3d platformer,0
stealth,3d platformer,0.002222222
steam machine,3d platformer,0
steampunk,3d platformer,0
story rich,3d platformer,0.003070624
strategy,3d platformer,0
strategy rpg,3d platformer,0
stylized,3d platformer,0
superhero,3d platformer,0
supernatural,3d platformer,0
surreal,3d platformer,0.00462963
survival,3d platformer,0.002463054
survival horror,3d platformer,0.006993007
swordplay,3d platformer,0
tactical,3d platformer,0
tactical rpg,3d platformer,0
tanks,3d platformer,0
team-based,3d platformer,0
text-based,3d platformer,0
third person,3d platformer,0.008241758
third-person shooter,3d platformer,0.008333333
thriller,3d platformer,0
time attack,3d platformer,0
time management,3d platformer,0
time manipulation,3d platformer,0
time travel,3d platformer,0
top-down,3d platformer,0
top-down shooter,3d platformer,0
touch-friendly,3d platformer,0
tower defense,3d platformer,0
trackir,3d platformer,0
trading,3d platformer,0
trading card game,3d platformer,0
trains,3d platformer,0
transhumanism,3d platformer,0
turn-based,3d platformer,0
turn-based combat,3d platformer,0
turn-based strategy,3d platformer,0
turn-based tactics,3d platformer,0
twin stick shooter,3d platformer,0
typing,3d platformer,0
underground,3d platformer,0
underwater,3d platformer,0
unforgiving,3d platformer,0
utilities,3d platformer,0
vampire,3d platformer,0
video production,3d platformer,0
villain protagonist,3d platformer,0.028571429
violent,3d platformer,0.011494253
visual novel,3d platformer,0
voice control,3d platformer,0
voxel,3d platformer,0
walking simulator,3d platformer,0
war,3d platformer,0
wargame,3d platformer,0
warhammer 40k,3d platformer,0
web publishing,3d platformer,0
werewolves,3d platformer,0
western,3d platformer,0
word game,3d platformer,0
world war i,3d platformer,0
world war ii,3d platformer,0
wrestling,3d platformer,0
zombies,3d platformer,0
2d fighter,4x,0
3d platformer,4x,0
4x,4x,0.055555556
6dof,4x,0
abstract,4x,0
action,4x,0.00090009
action rpg,4x,0.003311258
action-adventure,4x,0
addictive,4x,0
adventure,4x,0.000725689
agriculture,4x,0
aliens,4x,0
alternate history,4x,0
america,4x,0
animation & modeling,4x,0
anime,4x,0
arcade,4x,0
arena shooter,4x,0
artificial intelligence,4x,0
assassin,4x,0
atmospheric,4x,0.000779423
audio production,4x,0
base building,4x,0
based on a novel,4x,0
basketball,4x,0
batman,4x,0
beat 'em up,4x,0
beautiful,4x,0
benchmark,4x,0
blood,4x,0
board game,4x,0
building,4x,0
bullet hell,4x,0
bullet time,4x,0
capitalism,4x,0
card game,4x,0
cartoony,4x,0
casual,4x,0
character action game,4x,0
character customization,4x,0
chess,4x,0
choices matter,4x,0
choose your own adventure,4x,0
cinematic,4x,0
city builder,4x,0
class-based,4x,0
classic,4x,0
co-op,4x,0.001923077
co-op campaign,4x,0
cold war,4x,0
comedy,4x,0
comic book,4x,0
competitive,4x,0.004545455
conspiracy,4x,0
conversation,4x,0
crafting,4x,0
crime,4x,0
crowdfunded,4x,0
crpg,4x,0
cult classic,4x,0
cute,4x,0
cyberpunk,4x,0
cycling,4x,0
dark comedy,4x,0
dark fantasy,4x,0
dark humor,4x,0
dating sim,4x,0
demons,4x,0
design & illustration,4x,0
destruction,4x,0
detective,4x,0
difficult,4x,0.001153403
dinosaurs,4x,0
diplomacy,4x,0.060606061
documentary,4x,0
dog,4x,0
dragons,4x,0
drama,4x,0
driving,4x,0
dungeon crawler,4x,0
dungeons & dragons,4x,0
dynamic narration,4x,0
dystopian ,4x,0
e-sports,4x,0
early access,4x,0.002358491
economy,4x,0.007936508
education,4x,0.01369863
emotional,4x,0
epic,4x,0
episodic,4x,0
experience,4x,0
experimental,4x,0
exploration,4x,0.003072197
family friendly,4x,0
fantasy,4x,0.006462036
fast-paced,4x,0
female protagonist,4x,0
fighting,4x,0
first-person,4x,0
fishing,4x,0
flight,4x,0
fmv,4x,0
football,4x,0
fps,4x,0
funny,4x,0
futuristic,4x,0.008403361
gambling,4x,0
game development,4x,0
gamemaker,4x,0
games workshop,4x,0
god game,4x,0
golf,4x,0
gore,4x,0
gothic,4x,0
grand strategy,4x,0.033333333
grid-based movement,4x,0
gun customization,4x,0
hack and slash,4x,0
hacking,4x,0
hand-drawn,4x,0
heist,4x,0
hex grid,4x,0
hidden object,4x,0
historical,4x,0.003194888
horror,4x,0
horses,4x,0
hunting,4x,0
illuminati,4x,0
indie,4x,0.002054654
intentionally awkward controls,4x,0
interactive fiction,4x,0
inventory management,4x,0
investigation,4x,0
isometric,4x,0
jrpg,4x,0
kickstarter,4x,0
lara croft,4x,0
lego,4x,0
lemmings,4x,0
level editor,4x,0
linear,4x,0
local co-op,4x,0
logic,4x,0
loot,4x,0
lore-rich,4x,0
lovecraftian,4x,0
magic,4x,0.01056338
management,4x,0
mars,4x,0
martial arts,4x,0
masterpiece,4x,0
match 3,4x,0
mature,4x,0
mechs,4x,0
medieval,4x,0.005952381
metroidvania,4x,0
military,4x,0.004830918
minigames,4x,0
minimalist,4x,0.009803922
mining,4x,0
mmorpg,4x,0
moba,4x,0
mod,4x,0
moddable,4x,0.01980198
modern,4x,0
mouse only,4x,0
movie,4x,0
multiple endings,4x,0
music,4x,0
music-based procedural generation,4x,0
mystery,4x,0
mythology,4x,0
narration,4x,0
naval,4x,0
ninja,4x,0
noir,4x,0
nonlinear,4x,0
nsfw,4x,0
nudity,4x,0
offroad,4x,0
old school,4x,0
on-rails shooter,4x,0
online co-op,4x,0.002487562
open world,4x,0.002316602
otome,4x,0
parkour,4x,0
parody ,4x,0
party-based rpg,4x,0
perma death,4x,0
philisophical,4x,0
photo editing,4x,0
physics,4x,0
pinball,4x,0
pirates,4x,0
platformer,4x,0
point & click,4x,0
political,4x,0.021276596
politics,4x,0
pool,4x,0
post-apocalyptic,4x,0
procedural generation,4x,0.00621118
programming,4x,0
psychedelic,4x,0
psychological,4x,0
psychological horror,4x,0
puzzle,4x,0
puzzle-platformer,4x,0
pve,4x,0
pvp,4x,0.004115226
quick-time events,4x,0
racing,4x,0
real time tactics,4x,0
real-time,4x,0
real-time with pause,4x,0.010204082
realistic,4x,0
relaxing,4x,0.006944444
resource management,4x,0
retro,4x,0
rhythm,4x,0
robots,4x,0
rogue-like,4x,0
rogue-lite,4x,0
romance,4x,0
rome,4x,0
rpg,4x,0.001540832
rpgmaker,4x,0
rts,4x,0.014044944
runner,4x,0
sailing,4x,0
sandbox,4x,0.003722084
satire,4x,0
sci-fi,4x,0.005055612
science,4x,0
score attack,4x,0
sequel,4x,0
sexual content,4x,0
shoot 'em up,4x,0
shooter,4x,0
short,4x,0
side scroller,4x,0
silent protagonist,4x,0
simulation,4x,0.003174603
sniper,4x,0
soccer,4x,0
software,4x,0
software training,4x,0
sokoban,4x,0
souls-like,4x,0
space,4x,0.026086957
space sim,4x,0.036363636
spectacle fighter,4x,0
spelling,4x,0
split screen,4x,0
sports,4x,0
star wars,4x,0
stealth,4x,0
steam machine,4x,0
steampunk,4x,0
story rich,4x,0
strategy,4x,0.013789824
strategy rpg,4x,0
stylized,4x,0
superhero,4x,0
supernatural,4x,0
surreal,4x,0
survival,4x,0.001231527
survival horror,4x,0
swordplay,4x,0
tactical,4x,0.006622517
tactical rpg,4x,0
tanks,4x,0
team-based,4x,0
text-based,4x,0
third person,4x,0
third-person shooter,4x,0
thriller,4x,0
time attack,4x,0
time management,4x,0
time manipulation,4x,0
time travel,4x,0
top-down,4x,0
top-down shooter,4x,0
touch-friendly,4x,0
tower defense,4x,0
trackir,4x,0
trading,4x,0.023809524
trading card game,4x,0
trains,4x,0
transhumanism,4x,0
turn-based,4x,0.013477089
turn-based combat,4x,0
turn-based strategy,4x,0.024096386
turn-based tactics,4x,0.0125
twin stick shooter,4x,0
typing,4x,0
underground,4x,0
underwater,4x,0
unforgiving,4x,0
utilities,4x,0
vampire,4x,0
video production,4x,0
villain protagonist,4x,0
violent,4x,0
visual novel,4x,0
voice control,4x,0
voxel,4x,0
walking simulator,4x,0
war,4x,0
wargame,4x,0
warhammer 40k,4x,0
web publishing,4x,0
werewolves,4x,0
western,4x,0
word game,4x,0
world war i,4x,0
world war ii,4x,0
wrestling,4x,0
zombies,4x,0
2d fighter,6dof,0
3d platformer,6dof,0
4x,6dof,0
6dof,6dof,0.045454545
abstract,6dof,0
action,6dof,0.001260126
action rpg,6dof,0
action-adventure,6dof,0
addictive,6dof,0
adventure,6dof,0.000181422
agriculture,6dof,0
aliens,6dof,0
alternate history,6dof,0
america,6dof,0
animation & modeling,6dof,0
anime,6dof,0
arcade,6dof,0.001538462
arena shooter,6dof,0
artificial intelligence,6dof,0
assassin,6dof,0
atmospheric,6dof,0.000779423
audio production,6dof,0
base building,6dof,0
based on a novel,6dof,0
basketball,6dof,0
batman,6dof,0
beat 'em up,6dof,0
beautiful,6dof,0
benchmark,6dof,0
blood,6dof,0
board game,6dof,0
building,6dof,0
bullet hell,6dof,0.006451613
bullet time,6dof,0
capitalism,6dof,0
card game,6dof,0
cartoony,6dof,0
casual,6dof,0
character action game,6dof,0
character customization,6dof,0
chess,6dof,0
choices matter,6dof,0.005988024
choose your own adventure,6dof,0.009345794
cinematic,6dof,0
city builder,6dof,0
class-based,6dof,0
classic,6dof,0.002254791
co-op,6dof,0
co-op campaign,6dof,0
cold war,6dof,0
comedy,6dof,0
comic book,6dof,0
competitive,6dof,0
conspiracy,6dof,0
conversation,6dof,0
crafting,6dof,0.003787879
crime,6dof,0
crowdfunded,6dof,0
crpg,6dof,0
cult classic,6dof,0.012987013
cute,6dof,0
cyberpunk,6dof,0
cycling,6dof,0
dark comedy,6dof,0
dark fantasy,6dof,0
dark humor,6dof,0
dating sim,6dof,0
demons,6dof,0
design & illustration,6dof,0
destruction,6dof,0
detective,6dof,0
difficult,6dof,0.001153403
dinosaurs,6dof,0
diplomacy,6dof,0
documentary,6dof,0
dog,6dof,0
dragons,6dof,0
drama,6dof,0
driving,6dof,0
dungeon crawler,6dof,0
dungeons & dragons,6dof,0
dynamic narration,6dof,0
dystopian ,6dof,0
e-sports,6dof,0
early access,6dof,0
economy,6dof,0
education,6dof,0
emotional,6dof,0
epic,6dof,0
episodic,6dof,0
experience,6dof,0
experimental,6dof,0
exploration,6dof,0.001536098
family friendly,6dof,0
fantasy,6dof,0
fast-paced,6dof,0
female protagonist,6dof,0
fighting,6dof,0.003030303
first-person,6dof,0
fishing,6dof,0
flight,6dof,0
fmv,6dof,0
football,6dof,0
fps,6dof,0
funny,6dof,0
futuristic,6dof,0
gambling,6dof,0
game development,6dof,0
gamemaker,6dof,0
games workshop,6dof,0
god game,6dof,0
golf,6dof,0
gore,6dof,0
gothic,6dof,0
grand strategy,6dof,0
grid-based movement,6dof,0
gun customization,6dof,0
hack and slash,6dof,0
hacking,6dof,0
hand-drawn,6dof,0
heist,6dof,0
hex grid,6dof,0
hidden object,6dof,0
historical,6dof,0.003194888
horror,6dof,0
horses,6dof,0
hunting,6dof,0
illuminati,6dof,0
indie,6dof,0.000410931
intentionally awkward controls,6dof,0
interactive fiction,6dof,0
inventory management,6dof,0
investigation,6dof,0
isometric,6dof,0
jrpg,6dof,0
kickstarter,6dof,0
lara croft,6dof,0
lego,6dof,0
lemmings,6dof,0
level editor,6dof,0
linear,6dof,0
local co-op,6dof,0
logic,6dof,0
loot,6dof,0
lore-rich,6dof,0
lovecraftian,6dof,0
magic,6dof,0
management,6dof,0
mars,6dof,0
martial arts,6dof,0
masterpiece,6dof,0
match 3,6dof,0
mature,6dof,0
mechs,6dof,0
medieval,6dof,0
metroidvania,6dof,0
military,6dof,0
minigames,6dof,0
minimalist,6dof,0
mining,6dof,0
mmorpg,6dof,0
moba,6dof,0
mod,6dof,0
moddable,6dof,0
modern,6dof,0
mouse only,6dof,0
movie,6dof,0
multiple endings,6dof,0
music,6dof,0
music-based procedural generation,6dof,0
mystery,6dof,0
mythology,6dof,0
narration,6dof,0
naval,6dof,0.017857143
ninja,6dof,0
noir,6dof,0
nonlinear,6dof,0
nsfw,6dof,0
nudity,6dof,0
offroad,6dof,0
old school,6dof,0
on-rails shooter,6dof,0
online co-op,6dof,0
open world,6dof,0.000772201
otome,6dof,0
parkour,6dof,0
parody ,6dof,0
party-based rpg,6dof,0
perma death,6dof,0
philisophical,6dof,0
photo editing,6dof,0
physics,6dof,0
pinball,6dof,0
pirates,6dof,0.012345679
platformer,6dof,0
point & click,6dof,0
political,6dof,0
politics,6dof,0
pool,6dof,0
post-apocalyptic,6dof,0
procedural generation,6dof,0
programming,6dof,0
psychedelic,6dof,0
psychological,6dof,0
psychological horror,6dof,0
puzzle,6dof,0
puzzle-platformer,6dof,0
pve,6dof,0
pvp,6dof,0
quick-time events,6dof,0
racing,6dof,0
real time tactics,6dof,0
real-time,6dof,0
real-time with pause,6dof,0
realistic,6dof,0
relaxing,6dof,0
resource management,6dof,0
retro,6dof,0
rhythm,6dof,0
robots,6dof,0
rogue-like,6dof,0
rogue-lite,6dof,0
romance,6dof,0
rome,6dof,0
rpg,6dof,0.000770416
rpgmaker,6dof,0
rts,6dof,0
runner,6dof,0
sailing,6dof,0.1
sandbox,6dof,0
satire,6dof,0
sci-fi,6dof,0
