"Year","Game","Appid","MainTags","MainTag1","MainTag2","MainTag3","MainTag4","MainTag5"
2012,"Natural Selection 2",4920,"strategy,action,aliens,shooter,tactical","strategy","action","aliens","shooter","tactical"
2012,"Assassin's Creed III",208480,"assassin,america,adventure,open world,action","assassin","america","adventure","open world","action"
2012,"The Darkness II",67370,"fps,shooter,co-op,horror,comic book","fps","shooter","co-op","horror","comic book"
2012,"Endless Space - Collection",208140,"strategy,space,turn-based,diplomacy,adventure","strategy","space","turn-based","diplomacy","adventure"
2012,"Spec Ops: The Line",50300,"third-person shooter,action,war,shooter,military","third-person shooter","action","war","shooter","military"
2012,"Scribblenauts Unlimited",218680,"puzzle,open world,casual,adventure,family friendly","puzzle","open world","casual","adventure","family friendly"
2012,"Stronghold Kingdoms",47410,"rts,action,war,strategy,medieval","rts","action","war","strategy","medieval"
2012,"Alan Wake's American Nightmare",202750,"action,arcade,adventure,horror,third person","action","arcade","adventure","horror","third person"
2012,"Worms Revolution",200170,"strategy,turn-based strategy,turn-based,comedy,physics","strategy","turn-based strategy","turn-based","comedy","physics"
2012,"Risen 2: Dark Waters",40390,"rpg,pirates,open world,adventure,third person","rpg","pirates","open world","adventure","third person"
2012,"Star Trek Online",9900,"sci-fi,space,rpg,mmorpg,open world","sci-fi","space","rpg","mmorpg","open world"
2012,"Hell Yeah! Wrath of the Dead Rabbit",205230,"platformer,action,funny,gore,adventure","platformer","action","funny","gore","adventure"
2012,"POSTAL 2",223470,"violent,adventure,first-person,dark humor,action","violent","adventure","first-person","dark humor","action"
2012,"Cortex Command",209670,"action,physics,difficult,rts,indie","action","physics","difficult","rts","indie"
2012,"Jet Set Radio",205950,"classic,action,platformer,3d platformer,arcade","classic","action","platformer","3d platformer","arcade"
2012,"Viking: Battle for Asgard",211160,"open world,mythology,action,adventure,hack and slash","open world","mythology","action","adventure","hack and slash"
2012,"Super Crate Box",212800,"arcade,retro,indie,platformer,action","arcade","retro","indie","platformer","action"
2012,"Thief Gold",211600,"stealth,action,classic,first-person,atmospheric","stealth","action","classic","first-person","atmospheric"
2012,"Legend of Grimrock",207170,"grid-based movement,puzzle,real-time,tactical,dungeon crawler","grid-based movement","puzzle","real-time","tactical","dungeon crawler"
2012,"Divine Divinity",214170,"rpg,adventure,action,fantasy,isometric","rpg","adventure","action","fantasy","isometric"
2012,"Waveform",204180,"puzzle,arcade,action,difficult,adventure","puzzle","arcade","action","difficult","adventure"
2012,"Lone Survivor: The Director's Cut",209830,"horror,survival horror,adventure,action,simulation","horror","survival horror","adventure","action","simulation"
2012,"Wargame: European Escalation",58610,"strategy,military,cold war,wargame,war","strategy","military","cold war","wargame","war"
2012,"Kingdoms of Amalur: Reckoning",102500,"rpg,action,magic,fantasy,open world","rpg","action","magic","fantasy","open world"
2012,"LEGO The Lord of the Rings",214510,"lego,adventure,action,local co-op,comedy","lego","adventure","action","local co-op","comedy"
2012,"Deadlight",211400,"platformer,survival,horror,zombies,indie","platformer","survival","horror","zombies","indie"
2012,"Giana Sisters: Twisted Dreams",223220,"platformer,difficult,indie,action,female protagonist","platformer","difficult","indie","action","female protagonist"
2012,"Thomas Was Alone",220780,"platformer,indie,narration,minimalist,puzzle","platformer","indie","narration","minimalist","puzzle"
2012,"Prototype 2",115320,"action,open world,parkour,sandbox,gore","action","open world","parkour","sandbox","gore"
2012,"Tiny and Big: Grandpa's Leftovers",205910,"indie,physics,platformer,beautiful,puzzle","indie","physics","platformer","beautiful","puzzle"
2012,"Serious Sam 2",204340,"action,co-op,first-person,shooter,classic","action","co-op","first-person","shooter","classic"
2012,"Deponia",214340,"adventure,comedy,puzzle,hand-drawn,point & click","adventure","comedy","puzzle","hand-drawn","point & click"
2012,"Shank 2",102840,"action,co-op,beat 'em up,indie,adventure","action","co-op","beat 'em up","indie","adventure"
2012,"Warlock - Master of the Arcane",203630,"strategy,magic,turn-based strategy,fantasy,turn-based","strategy","magic","turn-based strategy","fantasy","turn-based"
2012,"Binary Domain",203750,"action,robots,shooter,futuristic,atmospheric","action","robots","shooter","futuristic","atmospheric"
2012,"Little Inferno",221260,"indie,short,adventure,casual,puzzle","indie","short","adventure","casual","puzzle"
2012,"Painkiller Hell & Damnation",214870,"action,co-op,shooter,fast-paced,classic","action","co-op","shooter","fast-paced","classic"
2012,"Pid",218740,"adventure,puzzle,co-op,indie,platformer","adventure","puzzle","co-op","indie","platformer"
2012,"Lucius",218640,"horror,adventure,nudity,villain protagonist,indie","horror","adventure","nudity","villain protagonist","indie"
2012,"Tomb Raider III",225320,"adventure,action,lara croft,puzzle,female protagonist","adventure","action","lara croft","puzzle","female protagonist"
2012,"Doom 3: BFG Edition",208200,"horror,classic,shooter,first-person,fps","horror","classic","shooter","first-person","fps"
2012,"Superbrothers: Sword & Sworcery EP",204060,"adventure,point & click,puzzle,music,indie","adventure","point & click","puzzle","music","indie"
2012,"Continent of the Ninth Seal",212390,"rpg,action,pvp,mmorpg,hack and slash","rpg","action","pvp","mmorpg","hack and slash"
2012,"Sonic Adventure 2",213610,"action,adventure,racing,platformer,3d platformer","action","adventure","racing","platformer","3d platformer"
2012,"Tomb Raider IV: The Last Revelation",224980,"adventure,action,lara croft,action-adventure,puzzle","adventure","action","lara croft","action-adventure","puzzle"
2012,"Everquest",205710,"fantasy,adventure,rpg,mmorpg,classic","fantasy","adventure","rpg","mmorpg","classic"
2012,"Really Big Sky",201570,"space,shooter,indie,action,shoot 'em up","space","shooter","indie","action","shoot 'em up"
2012,"Dungeons & Dragons Online",206480,"rpg,mmorpg,action,adventure,dragons","rpg","mmorpg","action","adventure","dragons"
2012,"Dwarfs - F2P",213650,"casual,arcade,sandbox,strategy,indie","casual","arcade","sandbox","strategy","indie"
2012,"Tomb Raider II",225300,"adventure,action,female protagonist,classic,lara croft","adventure","action","female protagonist","classic","lara croft"
2012,"Sacred 2 Gold",225640,"fantasy,rpg,open world,hack and slash,action rpg","fantasy","rpg","open world","hack and slash","action rpg"
2012,"Divinity II: Developer's Cut",219780,"rpg,dragons,adventure,fantasy,open world","rpg","dragons","adventure","fantasy","open world"
2012,"Stronghold 3 Gold",47400,"medieval,strategy,city builder,simulation,rts","medieval","strategy","city builder","simulation","rts"
2012,"Tomb Raider V: Chronicles",225000,"lara croft,adventure,action,female protagonist,puzzle","lara croft","adventure","action","female protagonist","puzzle"
2012,"Tomb Raider VI: The Angel of Darkness",225020,"action,adventure,lara croft,female protagonist,third person","action","adventure","lara croft","female protagonist","third person"
2012,"Planets Under Attack",218510,"space,strategy,indie,sci-fi,NA","space","strategy","indie","sci-fi","NA"
2012,"Tomb Raider I",224960,"adventure,lara croft,puzzle,exploration,action","adventure","lara croft","puzzle","exploration","action"
2012,"Thief II: The Metal Age",211740,"stealth,fps,classic,steampunk,atmospheric","stealth","fps","classic","steampunk","atmospheric"
2012,"Rayman Origins",207490,"platformer,adventure,action,co-op,local co-op","platformer","adventure","action","co-op","local co-op"
2012,"Galactic Civilizations I: Ultimate Edition",214150,"strategy,space,4x,sci-fi,turn-based","strategy","space","4x","sci-fi","turn-based"
2012,"Botanicula",207690,"adventure,funny,point & click,indie,puzzle","adventure","funny","point & click","indie","puzzle"
2012,"The Book of Unwritten Tales",215160,"point & click,fantasy,puzzle,adventure,comedy","point & click","fantasy","puzzle","adventure","comedy"
2012,"Wizorb",207420,"fantasy,indie,arcade,action,adventure","fantasy","indie","arcade","action","adventure"
2012,"Vessel",108500,"puzzle,physics,indie,platformer,steampunk","puzzle","physics","indie","platformer","steampunk"
2012,"PixelJunk Eden",105800,"indie,platformer,music,casual,action","indie","platformer","music","casual","action"
2012,"LEGO Harry Potter: Years 5-7",204120,"lego,adventure,magic,co-op,split screen","lego","adventure","magic","co-op","split screen"
2012,"Stacking",115110,"adventure,puzzle,indie,comedy,third person","adventure","puzzle","indie","comedy","third person"
2012,"Stealth Bastard Deluxe",209190,"stealth,puzzle,fast-paced,level editor,platformer","stealth","puzzle","fast-paced","level editor","platformer"
2012,"F1 2012",208500,"racing,driving,simulation,sports,realistic","racing","driving","simulation","sports","realistic"
2012,"Intrusion 2",214970,"action,platformer,physics,sci-fi,difficult","action","platformer","physics","sci-fi","difficult"
2012,"Dustforce DX",65300,"platformer,difficult,level editor,indie,time attack","platformer","difficult","level editor","indie","time attack"
2012,"Offspring Fling!",211360,"puzzle,cute,action,indie,platformer","puzzle","cute","action","indie","platformer"
2012,"Waking Mars",227200,"adventure,mars,sci-fi,exploration,platformer","adventure","mars","sci-fi","exploration","platformer"
2012,"Rocksmith",205190,"music,simulation,education,casual,rhythm","music","simulation","education","casual","rhythm"
2012,"Condemned: Criminal Origins",4720,"crime,horror,action,atmospheric,first-person","crime","horror","action","atmospheric","first-person"
2012,"Closure",72000,"puzzle,surreal,platformer,indie,puzzle-platformer","puzzle","surreal","platformer","indie","puzzle-platformer"
2012,"Chaos on Deponia",220740,"adventure,puzzle,hand-drawn,sequel,atmospheric","adventure","puzzle","hand-drawn","sequel","atmospheric"
2012,"Quantum Conundrum",200010,"puzzle,first-person,comedy,platformer,physics","puzzle","first-person","comedy","platformer","physics"
2012,"Magic: The Gathering - Duels of the Planeswalkers 2013",97330,"strategy,magic,card game,trading card game,fantasy","strategy","magic","card game","trading card game","fantasy"
2012,"Legacy of Kain: Soul Reaver 2",224940,"vampire,gothic,adventure,action,story rich","vampire","gothic","adventure","action","story rich"
2012,"Sine Mora",207040,"action,arcade,shooter,difficult,shoot 'em up","action","arcade","shooter","difficult","shoot 'em up"
2012,"McPixel",220860,"short,indie,point & click,comedy,puzzle","short","indie","point & click","comedy","puzzle"
2012,"Insanely Twisted Shadow Planet",205730,"adventure,action,puzzle,metroidvania,indie","adventure","action","puzzle","metroidvania","indie"
2012,"Ys Origin",207350,"rpg,action,difficult,jrpg,action rpg","rpg","action","difficult","jrpg","action rpg"
2012,"Symphony",207750,"music,shooter,indie,action,shoot 'em up","music","shooter","indie","action","shoot 'em up"
2012,"The Dark Eye: Chains of Satinav",203830,"adventure,fantasy,point & click,indie,puzzle","adventure","fantasy","point & click","indie","puzzle"
2012,"Half Minute Hero: Super Mega Neo Climax Ultimate Boy",214830,"rpg,action,retro,parody ,casual","rpg","action","retro","parody ","casual"
2012,"Edna & Harvey: Harvey's New Eyes",219910,"adventure,puzzle,point & click,dark humor,indie","adventure","puzzle","point & click","dark humor","indie"
2012,"Snapshot",388280,"utilities,photo editing,software training,NA,NA","utilities","photo editing","software training","NA","NA"
2012,"They Bleed Pixels",211260,"platformer,difficult,indie,action,horror","platformer","difficult","indie","action","horror"
2012,"King's Bounty: Warriors of the North",203350,"rpg,adventure,strategy,turn-based strategy,tactical","rpg","adventure","strategy","turn-based strategy","tactical"
2012,"Rocketbirds: Hardboiled Chicken",215510,"indie,adventure,co-op,puzzle,platformer","indie","adventure","co-op","puzzle","platformer"
2012,"The Testament of Sherlock Holmes",205650,"adventure,detective,mystery,point & click,puzzle","adventure","detective","mystery","point & click","puzzle"
2012,"Beyond Divinity",219760,"rpg,adventure,action,isometric,classic","rpg","adventure","action","isometric","classic"
2012,"Hard Reset Extended Edition",98400,"cyberpunk,action,sci-fi,shooter,fps","cyberpunk","action","sci-fi","shooter","fps"
2012,"A New Beginning - Final Cut",105000,"adventure,point & click,indie,sci-fi,post-apocalyptic","adventure","point & click","indie","sci-fi","post-apocalyptic"
2012,"Toy Soldiers",98300,"strategy,action,tower defense,world war i,casual","strategy","action","tower defense","world war i","casual"
2012,"Tom Clancy's Ghost Recon: Future Soldier",212630,"co-op,military,action,stealth,third-person shooter","co-op","military","action","stealth","third-person shooter"
2012,"Legacy of Kain: Defiance",224300,"vampire,action,adventure,story rich,dark fantasy","vampire","action","adventure","story rich","dark fantasy"
2012,"Splice",209790,"puzzle,indie,casual,relaxing,touch-friendly","puzzle","indie","casual","relaxing","touch-friendly"
2012,"Home",215670,"adventure,horror,mystery,indie,short","adventure","horror","mystery","indie","short"
2012,"Of Orcs And Men",216910,"stealth,rpg,fantasy,action,story rich","stealth","rpg","fantasy","action","story rich"
2012,"Primal Carnage",215470,"dinosaurs,shooter,team-based,first-person,pvp","dinosaurs","shooter","team-based","first-person","pvp"
2012,"Oil Rush",200390,"strategy,naval,indie,rts,tower defense","strategy","naval","indie","rts","tower defense"
2012,"I Am Alive",214250,"survival,post-apocalyptic,adventure,atmospheric,action","survival","post-apocalyptic","adventure","atmospheric","action"
2012,"A Virus Named TOM",207650,"puzzle,action,co-op,indie,strategy","puzzle","action","co-op","indie","strategy"
2012,"Blades of Time",208670,"action,adventure,female protagonist,hack and slash,third person","action","adventure","female protagonist","hack and slash","third person"
2012,"Jagged Alliance - Back in Action",57740,"strategy,rpg,tactical,action,turn-based","strategy","rpg","tactical","action","turn-based"
2012,"Carrier Command: Gaea Mission",65740,"strategy,action,tactical,sci-fi,rts","strategy","action","tactical","sci-fi","rts"
2012,"Tower Wars",214360,"tower defense,strategy,indie,steampunk,co-op","tower defense","strategy","indie","steampunk","co-op"
2012,"Game of Thrones",208730,"action,fantasy,medieval,adventure,rpg","action","fantasy","medieval","adventure","rpg"
2012,"SpellForce 2: Faith in Destiny",65530,"rts,strategy,rpg,fantasy,NA","rts","strategy","rpg","fantasy","NA"
2012,"Nexuiz",96800,"fps,action,arena shooter,NA,NA","fps","action","arena shooter","NA","NA"
2012,"Sonic the Hedgehog 4 - Episode II",203650,"adventure,platformer,co-op,action,local co-op","adventure","platformer","co-op","action","local co-op"
2012,"A Valley Without Wind",209330,"action,adventure,magic,loot,platformer","action","adventure","magic","loot","platformer"
2012,"Confrontation",204560,"action,rpg,strategy,fantasy,NA","action","rpg","strategy","fantasy","NA"
2012,"LEGO Batman 2 DC Super Heroes",213330,"lego,batman,co-op,split screen,action","lego","batman","co-op","split screen","action"
2012,"English Country Tune",207570,"puzzle,abstract,indie,casual,sokoban","puzzle","abstract","indie","casual","sokoban"
2012,"Sonic CD",200940,"adventure,platformer,classic,retro,time travel","adventure","platformer","classic","retro","time travel"
2012,"ROSE Online",215120,"rpg,anime,mmorpg,NA,NA","rpg","anime","mmorpg","NA","NA"
2012,"3SwitcheD",206610,"puzzle,casual,indie,match 3,NA","puzzle","casual","indie","match 3","NA"
2012,"Ticket to Ride",108200,"board game,strategy,casual,turn-based,trains","board game","strategy","casual","turn-based","trains"
2012,"Sonic the Hedgehog 4 - Episode I",202530,"platformer,action,adventure,fast-paced,family friendly","platformer","action","adventure","fast-paced","family friendly"
2012,"The Basement Collection",214790,"indie,adventure,platformer,experimental,puzzle","indie","adventure","platformer","experimental","puzzle"
2012,"Dead Pixels",222980,"local co-op,co-op,zombies,action,indie","local co-op","co-op","zombies","action","indie"
2012,"Adventures of Shuggy",211440,"puzzle,co-op,platformer,indie,puzzle-platformer","puzzle","co-op","platformer","indie","puzzle-platformer"
2012,"Galaxy on Fire 2 Full HD",212010,"space,action,sci-fi,shooter,trading","space","action","sci-fi","shooter","trading"
2012,"Legacy of Kain: Soul Reaver",224920,"adventure,vampire,gothic,action,classic","adventure","vampire","gothic","action","classic"
2012,"Indie Game: The Movie",207080,"documentary,movie,indie,linear,story rich","documentary","movie","indie","linear","story rich"
2012,"Iron Sky: Invasion",224900,"simulation,action,strategy,space,fmv","simulation","action","strategy","space","fmv"
2012,"The Old Tree",346250,"puzzle,adventure,indie,casual,short","puzzle","adventure","indie","casual","short"
2012,"TDP4:Team Battle",340540,"shooter,action,adventure,NA,NA","shooter","action","adventure","NA","NA"
2012,"NiGHTS Into Dreams",219950,"adventure,classic,surreal,score attack,action","adventure","classic","surreal","score attack","action"
2012,"R.A.W. Realms of Ancient War",209730,"action,fantasy,co-op,rpg,hack and slash","action","fantasy","co-op","rpg","hack and slash"
2012,"Port Royale 3",205610,"trading,economy,naval,adventure,strategy","trading","economy","naval","adventure","strategy"
2012,"Penny Arcade's On the Rain-Slick Precipice of Darkness 3",213030,"rpg,detective,indie,comedy,jrpg","rpg","detective","indie","comedy","jrpg"
2012,"Blood Bowl: Chaos Edition",216890,"sports,strategy,fantasy,competitive,board game","sports","strategy","fantasy","competitive","board game"
2012,"iBomber Defense Pacific",206690,"tower defense,strategy,casual,indie,world war ii","tower defense","strategy","casual","indie","world war ii"
2012,"Zombie Driver HD",220820,"zombies,racing,survival,arcade,action","zombies","racing","survival","arcade","action"
2012,"Jagged Alliance 2 - Wildfire",215930,"strategy,tactical,rpg,turn-based tactics,turn-based","strategy","tactical","rpg","turn-based tactics","turn-based"
2012,"Defender's Quest: Valley of the Forgotten (DX edition)",218410,"tower defense,rpg,strategy,fantasy,indie","tower defense","rpg","strategy","fantasy","indie"
2012,"Spirits",210170,"action,puzzle,hand-drawn,relaxing,indie","action","puzzle","hand-drawn","relaxing","indie"
2012,"Thirty Flights of Loving",214700,"short,first-person,indie,adventure,experimental","short","first-person","indie","adventure","experimental"
2012,"Unity of Command: Stalingrad Campaign",218090,"strategy,world war ii,turn-based strategy,wargame,turn-based","strategy","world war ii","turn-based strategy","wargame","turn-based"
2012,"Tales From Space: Mutant Blobs Attack",206370,"platformer,sci-fi,indie,action,side scroller","platformer","sci-fi","indie","action","side scroller"
2012,"The Blackwell Legacy",80330,"adventure,supernatural,point & click,indie,female protagonist","adventure","supernatural","point & click","indie","female protagonist"
2012,"Fly'N",223730,"platformer,action,puzzle,indie,adventure","platformer","action","puzzle","indie","adventure"
2012,"Street Fighter X Tekken",209120,"fighting,action,arcade,2d fighter,local co-op","fighting","action","arcade","2d fighter","local co-op"
2012,"Avernum: Escape From the Pit",208400,"fantasy,adventure,rpg,indie,isometric","fantasy","adventure","rpg","indie","isometric"
2012,"Miasmata",223510,"survival,adventure,first-person,atmospheric,action","survival","adventure","first-person","atmospheric","action"
2012,"Hero Academy",209270,"turn-based,strategy,indie,casual,NA","turn-based","strategy","indie","casual","NA"
2012,"The Dream Machine: Chapter 1 & 2",94300,"adventure,puzzle,surreal,point & click,indie","adventure","puzzle","surreal","point & click","indie"
2012,"Iron Brigade",115120,"tower defense,action,mechs,strategy,co-op","tower defense","action","mechs","strategy","co-op"
2012,"Cubemen",207250,"strategy,tower defense,indie,touch-friendly,NA","strategy","tower defense","indie","touch-friendly","NA"
2012,"Ys: The Oath in Felghana",207320,"action,difficult,classic,jrpg,rpg","action","difficult","classic","jrpg","rpg"
2012,"The Book of Unwritten Tales: The Critter Chronicles",221830,"adventure,fantasy,point & click,indie,comedy","adventure","fantasy","point & click","indie","comedy"
2012,"Ridge Racer Unbounded",202310,"racing,arcade,destruction,action,open world","racing","arcade","destruction","action","open world"
2012,"Primordia",227000,"post-apocalyptic,puzzle,point & click,adventure,sci-fi","post-apocalyptic","puzzle","point & click","adventure","sci-fi"
2012,"King Arthur II: The Role-Playing Wargame",24480,"rts,fantasy,strategy,rpg,NA","rts","fantasy","strategy","rpg","NA"
2012,"Sword of the Stars II: Enhanced Edition",42990,"strategy,turn-based strategy,turn-based,4x,space","strategy","turn-based strategy","turn-based","4x","space"
2012,"Jagged Alliance: Crossfire",205810,"rpg,tactical,strategy,simulation,NA","rpg","tactical","strategy","simulation","NA"
2012,"Analogue: A Hate Story",209370,"visual novel,mystery,indie,anime,sci-fi","visual novel","mystery","indie","anime","sci-fi"
2012,"F1 RACE STARS",203680,"racing,arcade,split screen,local co-op,difficult","racing","arcade","split screen","local co-op","difficult"
2012,"Dream Pinball 3D",215790,"pinball,simulation,casual,NA,NA","pinball","simulation","casual","NA","NA"
2012,"Men of War: Condemned Heroes",204860,"war,strategy,action,world war ii,rts","war","strategy","action","world war ii","rts"
2012,"Tiny Troopers",216110,"action,strategy,indie,shooter,zombies","action","strategy","indie","shooter","zombies"
2012,"Krater",42170,"adventure,action,post-apocalyptic,co-op,loot","adventure","action","post-apocalyptic","co-op","loot"
2012,"Resident Evil: Operation Raccoon City",209100,"zombies,co-op,third person,shooter,action","zombies","co-op","third person","shooter","action"
2012,"Painkiller: Recurring Evil",206760,"action,fps,horror,NA,NA","action","fps","horror","NA","NA"
2012,"Titan Attacks!",203210,"arcade,action,retro,shooter,shoot 'em up","arcade","action","retro","shooter","shoot 'em up"
2012,"Snuggle Truck",111100,"indie,driving,casual,racing,level editor","indie","driving","casual","racing","level editor"
2012,"Puddle",222140,"indie,simulation,physics,action,puzzle","indie","simulation","physics","action","puzzle"
2012,"Cargo Commander",220460,"space,indie,action,platformer,rogue-like","space","indie","action","platformer","rogue-like"
2012,"Air Conflicts: Pacific Carriers",214910,"action,flight,simulation,world war ii,NA","action","flight","simulation","world war ii","NA"
2012,"Dogfight 1942",217790,"flight,action,arcade,simulation,world war ii","flight","action","arcade","simulation","world war ii"
2012,"Fieldrunners",209690,"tower defense,strategy,indie,casual,NA","tower defense","strategy","indie","casual","NA"
2012,"Yesterday",205840,"adventure,mystery,point & click,puzzle,NA","adventure","mystery","point & click","puzzle","NA"
2012,"Fortune Summoners",203510,"rpg,action,platformer,anime,indie","rpg","action","platformer","anime","indie"
2012,"Dynamite Jack",202730,"action,adventure,stealth,top-down,level editor","action","adventure","stealth","top-down","level editor"
2012,"Kung Fu Strike - The Warrior's Rise",212030,"martial arts,fighting,local co-op,co-op,difficult","martial arts","fighting","local co-op","co-op","difficult"
2012,"Towns",221020,"rpg,building,city builder,indie,sandbox","rpg","building","city builder","indie","sandbox"
2012,"Wanderlust: Rebirth",211580,"rpg,action,co-op,indie,adventure","rpg","action","co-op","indie","adventure"
2012,"Hack, Slash, Loot",207430,"turn-based,dungeon crawler,loot,retro,rogue-like","turn-based","dungeon crawler","loot","retro","rogue-like"
2012,"Rune Classic",210950,"action,classic,adventure,third person,hack and slash","action","classic","adventure","third person","hack and slash"
2012,"Blackwell Unbound",80340,"adventure,point & click,indie,female protagonist,supernatural","adventure","point & click","indie","female protagonist","supernatural"
2012,"Blackwell Convergence",80350,"point & click,adventure,indie,female protagonist,supernatural","point & click","adventure","indie","female protagonist","supernatural"
2012,"Fairy Bloom Freesia",214590,"anime,action,beat 'em up,indie,female protagonist","anime","action","beat 'em up","indie","female protagonist"
2012,"GT Legends",44690,"racing,simulation,sports,NA,NA","racing","simulation","sports","NA","NA"
2012,"Noitu Love 2: Devolution",207530,"action,retro,arcade,indie,beat 'em up","action","retro","arcade","indie","beat 'em up"
2012,"Myst V: End of Ages",208110,"adventure,exploration,point & click,puzzle,casual","adventure","exploration","point & click","puzzle","casual"
2012,"Resonance",212050,"adventure,point & click,indie,sci-fi,retro","adventure","point & click","indie","sci-fi","retro"
2012,"Stellar Impact",207150,"action,space,strategy,indie,moba","action","space","strategy","indie","moba"
2012,"Unmechanical",211180,"adventure,puzzle,physics,indie,casual","adventure","puzzle","physics","indie","casual"
2012,"Crusader Kings Complete",204940,"strategy,historical,grand strategy,medieval,NA","strategy","historical","grand strategy","medieval","NA"
2012,"Blackwell Deception",80360,"point & click,adventure,indie,female protagonist,supernatural","point & click","adventure","indie","female protagonist","supernatural"
2012,"Unstoppable Gorg",18120,"tower defense,action,sci-fi,aliens,space","tower defense","action","sci-fi","aliens","space"
2012,"Gateways",216290,"puzzle,platformer,indie,metroidvania,sci-fi","puzzle","platformer","indie","metroidvania","sci-fi"
2012,"Evochron Mercenary",71000,"space,action,flight,trackir,trading","space","action","flight","trackir","trading"
2012,"Gratuitous Tank Battles",205530,"strategy,simulation,tower defense,tanks,indie","strategy","simulation","tower defense","tanks","indie"
2012,"Choplifter HD",202070,"action,zombies,arcade,NA,NA","action","zombies","arcade","NA","NA"
2012,"A Game of Dwarves",200370,"strategy,building,casual,city builder,fantasy","strategy","building","casual","city builder","fantasy"
